kind,metric,rho,tau,wins,full,rule
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.9613264796786922,0.8943319547941543,54/54,16/18,tribe_pressure>=0.919
gate,high:claude_vlm_completeness_norm|low:all4_mean,0.9613213591410738,0.892876727715868,54/54,17/18,high_need_seconds_frac>=0.550
gate,high:claude_vlm_completeness_norm|low:all4_mean,0.9613213591410738,0.892876727715868,54/54,17/18,tribe_pressure>=0.609
soft_gate,high:claude_vlm_specificity_norm|low:vlm_best_dims_mean,0.961313402598909,0.8926797768526105,53/54,16/18,weight=mean_need
soft_gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.961313402598909,0.8926797768526105,54/54,16/18,weight=high_need_seconds_frac
soft_gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.961313402598909,0.8926797768526105,53/54,15/18,weight=extended_seconds_frac
soft_gate,high:claude_vlm_specificity_norm|low:vlm_best_dims_mean,0.961313402598909,0.8926797768526105,53/54,16/18,weight=extended_seconds_frac
soft_gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.961313402598909,0.8926797768526105,53/54,15/18,weight=tribe_pressure
soft_gate,high:claude_vlm_specificity_norm|low:vlm_best_dims_mean,0.961313402598909,0.8926797768526105,53/54,16/18,weight=tribe_pressure
soft_gate,high:claude_vlm_specificity_norm|low:strict_all4_80adqa_20clip,0.9612505000290751,0.8820107386976004,54/54,18/18,weight=extended_seconds_frac
soft_gate,high:claude_vlm_completeness_norm|low:all4_mean,0.9611895143609552,0.8919474792258604,54/54,16/18,weight=mean_speech_density
gate,high:vlm_best_dims_mean|low:claude_vlm_completeness_norm,0.9611736380837215,0.8917517694090831,54/54,16/18,max_need>=0.838
gate,high:vlm_best_dims_mean|low:claude_vlm_completeness_norm,0.9611577625931624,0.8913607359461208,54/54,16/18,max_need>=0.771
gate,high:vlm_best_dims_mean|low:all4_mean,0.9610986815006921,0.889476967572482,54/54,17/18,extended_seconds_frac>=0.477
soft_gate,high:vlm_best_dims_mean|low:selected3_mean,0.9610986815006921,0.889476967572482,54/54,17/18,weight=high_need_seconds_frac
soft_gate,high:vlm_best_dims_mean|low:selected3_mean,0.9610986815006921,0.889476967572482,54/54,16/18,weight=mean_speech_density
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9610547380265837,0.8944504669397738,53/54,17/18,extended_seconds_frac>=0.477
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9610467629649647,0.8944504669397738,54/54,16/18,mean_need>=0.393
gate,high:selected3_mean|low:claude_vlm_completeness_norm,0.9610467629649647,0.8944504669397738,54/54,16/18,max_need>=0.838
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9610467629649647,0.8944504669397738,54/54,16/18,high_need_seconds_frac>=0.550
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9610467629649647,0.8944504669397738,54/54,16/18,tribe_pressure>=0.609
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9610387881018793,0.8942514126440098,54/54,17/18,extended_seconds_frac>=0.364
soft_gate,high:claude_vlm_specificity_norm|low:vlm_best_dims_mean,0.9610340118487661,0.8927943554036312,53/54,16/18,weight=mean_speech_density
gate,high:vlm_best_dims_mean|low:strict_all4_80adqa_20clip,0.9608727469261921,0.8877232080186894,54/54,17/18,mean_need>=0.374
gate,high:vlm_best_dims_mean|low:strict_all4_80adqa_20clip,0.9608727469261921,0.8877232080186894,54/54,17/18,tribe_pressure>=0.484
gate,high:vlm_best_dims_mean|low:selected3_mean,0.960838975223632,0.8904955386449132,54/54,17/18,high_need_seconds_frac>=0.550
gate,high:vlm_best_dims_mean|low:selected3_mean,0.960838975223632,0.8904955386449132,54/54,17/18,tribe_pressure>=0.609
soft_gate,high:vlm_best_dims_mean|low:claude_vlm_completeness_norm,0.960838975223632,0.8904955386449132,54/54,16/18,weight=max_need
soft_gate,high:selected3_mean|low:claude_vlm_completeness_norm,0.960838975223632,0.8904955386449132,54/54,16/18,weight=tribe_pressure
soft_gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.960838975223632,0.8904955386449132,54/54,17/18,weight=tribe_pressure
gate,high:vlm_best_dims_mean|low:strict_all4_80adqa_20clip,0.9607583989305638,0.8861786639568848,54/54,16/18,mean_speech_density>=0.682
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9607351423552435,0.8937729474687053,54/54,17/18,tribe_pressure>=0.522
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.9607271702103249,0.8935741324406715,54/54,16/18,mean_need>=0.378
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.9607271702103249,0.8935741324406715,54/54,16/18,high_need_seconds_frac>=0.417
soft_gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9607148472425618,0.8919238176542716,53/54,15/18,weight=high_need_seconds_frac
soft_gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9607068957202977,0.8917270769840379,53/54,15/18,weight=mean_need
gate,high:claude_vlm_specificity_norm|low:strict_all4_80adqa_20clip,0.9606020093561886,0.8880200325884838,53/54,16/18,mean_speech_density>=0.874
gate,high:claude_vlm_completeness_norm|low:strict_all4_80adqa_20clip,0.9605598598995886,0.8906062084072518,54/54,17/18,extended_seconds_frac>=0.364
gate,high:vlm_best_dims_mean|low:claude_vlm_specificity_norm,0.9605439948087072,0.8902158484461775,54/54,17/18,high_need_seconds_frac>=0.727
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9605271475894853,0.8946891661751218,53/54,17/18,extended_seconds_frac>=0.364
soft_gate,high:claude_vlm_specificity_norm|low:all4_mean,0.9605013718399531,0.8887241055600686,54/54,18/18,weight=high_need_seconds_frac
soft_gate,high:claude_vlm_listener_utility_norm|low:selected3_mean,0.9604934556307293,0.8885307154793196,54/54,17/18,weight=extended_seconds_frac
gate,high:selected3_mean|low:claude_vlm_completeness_norm,0.9604235269833304,0.893095773697395,54/54,16/18,max_need>=0.771
soft_gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9604075883279423,0.8926987539962036,53/54,16/18,weight=max_need
gate,high:vlm_best_dims_mean|low:strict_all4_80adqa_20clip,0.960268044127623,0.8867798252258958,54/54,17/18,tribe_pressure>=0.522
gate,high:vlm_best_dims_mean|low:selected3_mean,0.9602331498924697,0.8895461830600038,54/54,17/18,mean_need>=0.374
