clip_idx,tier,gt,objectivity,clarity,descriptiveness,timing_fit,delivery,accuracy_proxy,six_dim_mean
19,tier0_cross,0,1.0,0.9696969696969696,0.0,0.759090909090909,0.7,0.0,0.5714646464646465
19,tier1_vatex_short,1,1.0,0.743801652892562,0.0,0.35,0.7,0.0,0.4656336088154269
19,tier2_vatex_long,2,1.0,0.8106060606060606,0.0,0.7636363636363637,0.7,0.0,0.5457070707070707
19,tier3_va11y,3,1.0,0.8235294117647058,0.25,0.3772727272727272,0.7,0.25,0.5668003565062388
14,tier0_cross,0,1.0,0.8181818181818181,0.25,0.8571428571428572,0.8571428571428572,0.25,0.6720779220779222
14,tier1_vatex_short,1,1.0,0.7012987012987013,0.25,0.30000000000000004,1.0,0.25,0.5835497835497835
14,tier2_vatex_long,2,1.0,0.8148148148148149,0.0,0.5785714285714286,1.0,0.0,0.5655643738977073
14,tier3_va11y,3,1.0,0.7826086956521738,0.0,0.9857142857142858,0.6857142857142857,0.0,0.5756728778467909
17,tier0_cross,0,1.0,0.9696969696969696,0.0,0.8029411764705883,0.8857142857142857,0.0,0.6097254053136406
17,tier1_vatex_short,1,1.0,0.6515151515151516,0.0,0.24705882352941178,1.0,0.0,0.4830956625074272
17,tier2_vatex_long,2,1.0,0.7272727272727273,0.0,0.5352941176470589,1.0,0.0,0.5437611408199644
17,tier3_va11y,3,1.0,0.8628659476117103,0.75,0.7852941176470588,0.3142857142857143,0.75,0.7437409632574138
5,tier0_cross,0,1.0,0.9402597402597404,0.5,0.65625,1.0,0.5,0.7660849567099568
5,tier1_vatex_short,1,1.0,0.6611570247933884,0.0,0.20625000000000004,1.0,0.0,0.4779011707988981
5,tier2_vatex_long,2,1.0,0.8401253918495297,0.0,0.54375,1.0,0.0,0.5639792319749216
5,tier3_va11y,3,1.0,0.9151515151515152,0.0,0.875,0.2857142857142857,0.0,0.5126443001443001
8,tier0_cross,0,1.0,0.8128342245989305,0.25,0.46999999999999975,0.5428571428571429,0.25,0.5542818945760123
8,tier1_vatex_short,1,1.0,0.8181818181818181,0.0,0.30000000000000004,1.0,0.0,0.5196969696969697
8,tier2_vatex_long,2,1.0,0.8512396694214875,0.0,0.6600000000000001,1.0,0.0,0.585206611570248
8,tier3_va11y,3,1.0,0.922077922077922,0.0,0.31999999999999973,0.4,0.0,0.44034632034632026
1,tier0_cross,0,1.0,0.9402597402597404,0.5,0.9499999999999998,1.0,0.5,0.81504329004329
1,tier1_vatex_short,1,1.0,0.6153846153846154,0.0,0.39,1.0,0.0,0.500897435897436
1,tier2_vatex_long,2,1.0,0.6794258373205742,0.0,0.5700000000000001,1.0,0.0,0.5415709728867624
1,tier3_va11y,3,1.0,0.873900293255132,0.0,0.13999999999999968,0.22857142857142854,0.0,0.3737452869710934
6,tier0_cross,0,1.0,0.8128342245989305,0.25,0.725,0.5428571428571429,0.25,0.5967818945760123
6,tier1_vatex_short,1,1.0,0.6363636363636364,0.0,0.35,1.0,0.0,0.49772727272727274
6,tier2_vatex_long,2,1.0,0.8686868686868687,0.0,0.44999999999999996,1.0,0.0,0.5531144781144781
6,tier3_va11y,3,1.0,0.9696969696969696,0.0,0.975,0.8857142857142857,0.0,0.6384018759018759
13,tier0_cross,0,1.0,0.8181818181818181,0.25,0.8888888888888888,0.8571428571428572,0.25,0.6773689273689274
13,tier1_vatex_short,1,1.0,0.8333333333333333,0.0,0.33333333333333337,1.0,0.0,0.5277777777777778
13,tier2_vatex_long,2,1.0,0.7597402597402598,0.0,0.7777777777777778,1.0,0.0,0.5895863395863395
13,tier3_va11y,3,1.0,0.9199457259158752,0.0,0.13888888888888884,0.08571428571428574,0.0,0.357424816753175
7,tier0_cross,0,1.0,0.8128342245989305,0.25,0.725,0.5428571428571429,0.25,0.5967818945760123
7,tier1_vatex_short,1,1.0,0.6446280991735538,0.0,0.275,1.0,0.0,0.4866046831955923
7,tier2_vatex_long,2,1.0,0.6698564593301435,0.0,0.475,1.0,0.0,0.5241427432216906
7,tier3_va11y,3,1.0,0.8203991130820398,0.25,0.975,0.8285714285714285,0.25,0.6873284236089114
9,tier0_cross,0,1.0,0.8181818181818181,0.25,0.75,0.8571428571428572,0.25,0.6542207792207793
9,tier1_vatex_short,1,1.0,0.6727272727272728,0.0,0.1875,1.0,0.0,0.4767045454545455
9,tier2_vatex_long,2,1.0,0.9212121212121211,0.5,0.28125,1.0,0.5,0.7004103535353535
9,tier3_va11y,3,1.0,0.9402597402597404,0.5,0.65625,1.0,0.5,0.7660849567099568
0,tier0_cross,0,1.0,0.9402597402597404,0.5,0.7954545454545454,1.0,0.5,0.7892857142857143
0,tier1_vatex_short,1,1.0,0.8099173553719008,0.0,0.25,1.0,0.0,0.5099862258953168
0,tier2_vatex_long,2,1.0,0.7636363636363637,0.0,0.5681818181818181,1.0,0.0,0.5553030303030303
0,tier3_va11y,3,1.0,0.8181818181818181,0.25,0.9090909090909091,0.8571428571428572,0.25,0.6807359307359307
18,tier0_cross,0,1.0,0.9696969696969696,0.0,0.73125,0.8857142857142857,0.0,0.5977768759018759
18,tier1_vatex_short,1,1.0,0.6153846153846154,0.0,0.24375000000000002,1.0,0.0,0.47652243589743587
18,tier2_vatex_long,2,1.0,0.6573426573426573,0.0,0.48749999999999993,1.0,0.0,0.5241404428904429
18,tier3_va11y,3,1.0,0.8552188552188551,0.5,0.9875,0.4571428571428572,0.5,0.7166436187269521
16,tier0_cross,0,1.0,0.9696969696969696,0.0,0.5374999999999999,0.8857142857142857,0.0,0.5654852092352092
16,tier1_vatex_short,1,1.0,0.6776859504132231,0.0,0.4125000000000001,1.0,0.0,0.5150309917355372
16,tier2_vatex_long,2,1.0,0.6868686868686869,0.0,0.675,1.0,0.0,0.5603114478114478
16,tier3_va11y,3,1.0,0.7878787878787878,0.0,0.4249999999999998,0.8,0.0,0.5021464646464646
