clip_key,corpus,clip_idx,video_id,category,window_idx,start_s,end_s,scene_spatial_gap,agent_action_gap,control_gap,mean_visual_gap,peak_visual_gap,dominant_type,dominance_margin,visual_minus_control,raw_trs,route
external_xW6hpK-DBMY_000080_000090,external,,xW6hpK-DBMY_000080_000090,How-to & Instructional,2,6.363636363636363,9.09090909090909,0.08028596764450224,0.02002745631871598,0.11509588324761892,0.08028596764450224,0.10536814640559644,scene_spatial,0.06025851132578626,-0.03480991560311668,3,static_ad_ok_low_gap
external_xW6hpK-DBMY_000080_000090,external,,xW6hpK-DBMY_000080_000090,How-to & Instructional,3,9.09090909090909,10.0,0.13384192717455,0.0921135986578685,0.4409509385032704,0.13384192717455,0.13384192717455,scene_spatial,0.04172832851668151,-0.30710901132872037,1,static_ad_ok_low_gap
external_yBO8rAMeqjc_000007_000017,external,,yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",0,0.0,3.0,0.08893101742826885,0.16723775559964174,0.19657416337665065,0.16723775559964174,0.26673991495174454,agent_action,0.07830673817137289,-0.02933640777700891,3,static_ad_ok_low_gap
external_yBO8rAMeqjc_000007_000017,external,,yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",1,3.0,6.0,0.09045669793571047,0.10138765871964188,0.10752192075461298,0.10296482126494082,0.23410574874433987,agent_action,0.01093096078393141,-0.006134262034971097,3,static_ad_ok_low_gap
external_yBO8rAMeqjc_000007_000017,external,,yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",2,6.0,9.0,0.09144709223215752,0.05027123166641715,0.0936766257092394,0.09144709223215752,0.11211630332009803,scene_spatial,0.04117586056574037,-0.0022295334770818798,3,static_ad_ok_low_gap
external_yBO8rAMeqjc_000007_000017,external,,yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",3,9.0,10.0,0.1090977876035143,0.06743307108080354,0.12996063777078126,0.1090977876035143,0.1090977876035143,scene_spatial,0.041664716522710754,-0.020862850167266966,1,static_ad_ok_low_gap
external_zTJ0Zbv1jBo_000045_000055,external,,zTJ0Zbv1jBo_000045_000055,Health & Wellness,0,0.0,3.6363636363636362,0.6782090680642371,0.25999112497012267,0.0437552048782317,0.6782090680642371,1.0262665348950901,scene_spatial,0.4182179430941144,0.6344538631860054,4,layout_replay_or_scene_cue
external_zTJ0Zbv1jBo_000045_000055,external,,zTJ0Zbv1jBo_000045_000055,Health & Wellness,1,3.6363636363636362,6.363636363636363,0.5778535543201109,0.23213756405480998,0.0299073263312859,0.5778535543201109,0.8672890095641973,scene_spatial,0.34571599026530087,0.547946227988825,3,layout_replay_or_scene_cue
external_zTJ0Zbv1jBo_000045_000055,external,,zTJ0Zbv1jBo_000045_000055,Health & Wellness,2,6.363636363636363,9.09090909090909,0.6233837551758873,0.1302813880406404,0.06828485360107044,0.6233837551758873,0.8088835867752453,scene_spatial,0.4931023671352469,0.5550989015748169,3,layout_replay_or_scene_cue
external_zTJ0Zbv1jBo_000045_000055,external,,zTJ0Zbv1jBo_000045_000055,Health & Wellness,3,9.09090909090909,10.0,0.19558001080619902,0.05567861858760481,0.03965673240137968,0.19558001080619902,0.19558001080619902,scene_spatial,0.1399013922185942,0.15592327840481934,1,static_ad_ok_low_gap
