clip_key,corpus,category,clos_auditory_control,clos_body_eba_region,clos_early_visual_v1,clos_face_ffc,clos_higher_visual_v2v3v4,clos_language_control,clos_lateral_object_loc,clos_motion_mt_complex,clos_retrosplenial_pos,clos_scene_ppa
external_EA3HCx0yTIY_000281_000291,external,Music,-164.54198699681032,-0.7920637730381951,-0.5523737180654269,-1.0030664064466661,-0.14709474240595408,-62.95102906773737,-0.4343337836644632,-1.8039378152739387,-1.0275992159942928,-0.8102288567689677
external_F-mRnL_XmJU_000000_000010,external,Entertainment,-4.778466416978112,-1.062756511615312,0.2646983829381516,-0.34063257480593356,-0.5037342605683894,-2.183692630593267,-6.4234567095618145,-2.1315737618494572,0.5752612582568178,-0.590346319311204
external_GOH6fBhoi2o_000010_000020,external,Entertainment,-22.27963035060165,-2.3407738368016435,-0.18962071942019798,-0.7310795944319985,-0.4694766717516135,-20.14480114104526,-2.2715335917173816,-1.7816004524758915,-2.5367505119317717,-0.23354144300757082
external_HpRmj5ce32c_000001_000011,external,Sports,-9.440016747974386,-0.5389575049375435,-0.1990145849902658,-0.01882561124983468,-0.7009608526795327,-8.522143019214619,-0.04327753241610257,-0.49287416080087704,-4.86988567573644,-0.39837599265456264
external_N-LZPc27kjM_000229_000239,external,How-to & Instructional,-3.5191341250447365,-2.223654831257664,0.16136189711280918,-1.41468227042521,-1.106846701876742,-10.081194199861846,-3.1144683645371214,-2.0180417608173866,0.8062315820709777,-2.630207351717527
external_OASCPKazLIM_000132_000142,external,How-to & Instructional,-10.043066901243627,0.06597521153209264,-0.8937047796631191,-1.155159001986785,-0.9319482369655139,-13.168440554873067,-0.7929711399797725,-0.45975238913536826,0.8981453719200859,-0.0949173869031735
external_RjPp0ZPW0yc_000000_000010,external,How-to & Instructional,-30.722470187597523,-0.9366682147857482,0.5709926914235134,-2.4748482917535144,0.11751183682489229,-37.342230809074614,-4.525388296253439,-4.5187983305482184,0.6972471201757391,-3.418027048531467
external_RlfVK8z5wJ0_000000_000010,external,Sports,-37.01284091764167,-17.034149258244103,-0.22135088823704208,-4.610820826030308,-0.7331296927362478,-24.18120752860053,-30.801727105256717,-18.18547771642409,0.34754129997119976,-2.382282713747067
external_S-C86j0keqc_000217_000227,external,Event,-17.128051681204468,-1.7446052157004448,0.06673522891005984,-2.1264680235495415,-0.4538594064180491,-22.22147823110934,-1.877720458296664,-1.5651530873909165,-7.2883491690881534,-2.1015772916864917
external_ShSSAEfnyDs_000000_000010,external,Entertainment,-5.44793564816526,-7.355546661855807,-3.1015861478911475,-4.2928767720862115,-8.780933854867095,-7.774113136165819,-22.983718216012765,-3.4757519203193867,-0.38925721405431907,-1.180793561784055
