clip_key,corpus,category,accessibility_gap,auditory_control,body_eba_region,early_visual_v1,face_ffc,higher_visual_v2v3v4,language_control,lateral_object_loc,motion_mt_complex,retrosplenial_pos,scene_ppa
external_0t0DB1B1w8Y_000000_000010,external,Sports,0.07205117390908244,0.022179419283027024,0.008989388035400836,0.11944846337299242,0.016282902947484468,0.015680118384569286,0.026203139245347673,0.00400247339018267,0.009662165301157155,0.08247156038619152,0.0058939219000165854
external_1-jIze6gy0g_000026_000036,external,How-to & Instructional,0.18127637388283402,0.01247297333368036,0.03193664204133395,0.2614351026783338,0.04187241617440862,0.13614557880679623,0.015509660399490643,0.019642470782700205,0.03069644521079362,0.3504062428237946,0.031525422914632784
external_1HUWWCLza0w_000000_000010,external,Sports,0.13448063106879748,0.15058963505213718,0.02326457928930714,0.46352657949140474,0.06998854666930576,0.09797328102169844,0.16224629331826557,0.02207153087415581,0.01817680722300552,0.07987829243343758,0.03658337998212746
external_1YemrpNBpf4_000001_000011,external,Entertainment,0.14508910167583222,0.13471894155023978,0.039460229876782105,0.3227037402754407,0.0658581850882094,0.058651050506600244,0.11035687903870928,0.022675051021977755,0.03151706104450536,0.20574329761131305,0.05669029704577422
external_1kLhK8KfIEw_000020_000030,external,How-to & Instructional,0.3315123449046128,0.016245979147261114,0.10509781235639204,0.14379425576734062,0.09166304772635947,0.05871661248847504,0.05878948882866486,0.06874019719422608,0.08798750248779852,1.001222481176312,0.6221638866359039
external_21T1JDdJgsM_000047_000057,external,Entertainment,0.09763596318416057,0.07696383130275597,0.03963452212380636,0.9817524375138872,0.03353057667395598,0.08735639117246885,0.025165708808646103,0.015475797087725729,0.06317231708897952,0.04022930037903871,0.00553663662787196
external_2kJxrcNRS9w_000047_000057,external,Sports,0.20958406116872852,0.08590603769358196,0.06785886782409922,1.3022761648908157,0.06091704162998335,0.46161483635943357,0.04838619943897671,0.029696194843444546,0.06993302660728051,0.13340982428114467,0.008517141588327837
external_3su234u58DA_000172_000182,external,Entertainment,0.09881634712057208,0.20458652023656032,0.046219705620798246,0.09599106665514279,0.015064796399037905,0.05627261439199571,0.0875959093544545,0.006930393963416548,0.015411605774300674,0.15908702069254832,0.06138241155469715
external_3ufJNSez5Is_000008_000018,external,How-to & Instructional,0.11843659178237897,0.061449648156190584,0.008224972672115194,0.07866197142000642,0.019362967069502357,0.03470054954679902,0.08959473749585678,0.006587842541803446,0.004125142062234355,0.2926483350938386,0.2490489168385709
external_750QhTe9Z4U_000000_000010,external,People & Vlogs,0.14713961311655743,0.029266947943508592,0.025212927022994602,0.07290342474307965,0.016469559109359433,0.026328798550362964,0.04136587742175213,0.004465840706448065,0.011096998283778858,0.2262049375205124,0.014188790746486935
external_8vkNr_eysXY_000002_000012,external,How-to & Instructional,0.28544253278590037,0.13457525115537217,0.07399123169905575,0.6216298661822585,0.03619231884722762,0.18117851696714016,0.17056712091285586,0.028471903285939848,0.06422596626971888,1.6684124177759019,0.13729002929413914
external_9eBhetL8n5Q_000222_000232,external,People & Vlogs,0.08706709611323915,0.010205653089404132,0.029844051122336124,0.04259958023346744,0.04325201293750103,0.03457422756910378,0.029940899881421457,0.025942919518897045,0.017015073223311084,0.23402302938430242,0.17925876387554318
external_9fuIpQgnNEQ_000049_000059,external,Event,0.059317410929392245,0.12275053193933883,0.025388025238572642,0.01214347717100217,0.010522106179277513,0.01320263068291172,0.06104163210856739,0.01000695604103552,0.011972706848256354,0.048329291041377176,0.036008477520844906
external_A0e7Z55s8pE_000008_000018,external,How-to & Instructional,0.20038740685368284,0.21357479290432013,0.16751264147472156,0.14180146564259277,0.11035834367563269,0.0835338118149852,0.20242393655038726,0.09705606935585698,0.06467524211502707,0.19687409517170829,1.0655655670034005
external_AEkLDauJVi0_000069_000079,external,Food & Cooking,0.2927704809327547,0.21706117279310366,0.05197509324180538,0.3740566632026574,0.12393486497399064,0.11563333079433147,0.22510772137679924,0.02895352277022023,0.02876307676205747,0.6447902666754748,1.4941398852441492
external_BHxn3qfPAl4_000018_000028,external,Health & Wellness,0.24304902467431522,0.01373209545430154,0.08150739303033439,0.10804938318958246,0.21250061103818574,0.1003263977459925,0.0732356852315228,0.038137490359378745,0.2148803445645009,0.6633230769563792,0.8529078754242065
external_BcW6Y7eufQE_000239_000249,external,People & Vlogs,0.1366415140927154,0.0660189199732154,0.026080974343123065,0.3394694472486359,0.05781695324972558,0.059475499079866045,0.1387056917211007,0.01543903859323048,0.03427780375572287,0.10456061201008005,0.19041508180209232
external_Bss3WwpDdS8_000041_000051,external,People & Vlogs,0.08183499042899356,0.012088091925542499,0.020907775227183345,0.2904617622472726,0.014754426316091473,0.12595613656126659,0.025767933962455136,0.015194076514903898,0.022402606475073972,0.09111169458687696,0.4294233226954546
external_Ccgwurislg8_000082_000092,external,How-to & Instructional,0.26079431953837284,0.06761712110414386,0.04749887347185944,0.20561593320852423,0.06989229914638573,0.03988713140099587,0.0907249019840205,0.0160968571123854,0.1018044666786504,1.336180318531887,0.0734998479782264
external_D297atE3gag_000203_000213,external,How-to & Instructional,0.08751459644998993,0.005198313443429026,0.056218526316761386,0.0733439097902775,0.05029384566817097,0.05608458685594142,0.03225687089472573,0.04437331112214693,0.04107876264384325,0.1897805562603635,0.25197290147173856
external_EA3HCx0yTIY_000281_000291,external,Music,0.24461457565097622,0.011663189218810821,1.0366189328007371,0.5086796484987189,0.7911781614954512,0.6364642031200589,0.026864793941521192,1.1745919179000717,0.6879864296275924,0.4679180153034961,0.8790832994200888
external_F-mRnL_XmJU_000000_000010,external,Entertainment,0.22856270395830125,0.10820330782873111,0.03885078417853571,0.615572880300912,0.12767050133762203,0.13856813664833745,0.21819983737670345,0.0133115855854391,0.02725165221527226,0.8338490520370879,0.19065257129543256
external_GOH6fBhoi2o_000010_000020,external,Entertainment,0.3961782650029143,0.06496368241729,0.10902980290279307,1.5142759028314812,0.19680497732323288,0.782759974059677,0.07682181703909163,0.11871413505701456,0.13341733923241694,0.3914383830291087,0.6161288709192903
external_HpRmj5ce32c_000001_000011,external,Sports,0.276380794057565,0.16633372627785514,0.2971498606282309,1.19390434128611,0.44068099984581843,0.2905419828388851,0.17636908363741144,0.1320184685401492,0.1819169019820034,0.12816690792221375,0.04345874516922488
external_N-LZPc27kjM_000229_000239,external,How-to & Instructional,0.09554951254932365,0.05519848362159285,0.025245522333358195,0.15166104352039167,0.03399897854902911,0.045279736903701684,0.042672295667632865,0.012037425548428793,0.021285467659987956,0.5195361000260539,0.10331348438089616
external_OASCPKazLIM_000132_000142,external,How-to & Instructional,0.18390168094751747,0.1172400137976225,0.056299759447597464,0.2687379845493423,0.04765196231531377,0.08988600771239841,0.08363052097741586,0.019179944832534268,0.08264509016839194,1.308936569658958,0.053285317019948875
external_RjPp0ZPW0yc_000000_000010,external,How-to & Instructional,0.2282156072672632,0.054675228330239745,0.05179844502826669,0.9315465814370414,0.0594987084280898,0.22821118050792488,0.043475303030408696,0.014836807620256964,0.045668042351326155,1.1629258204746658,0.052392091940554386
external_RlfVK8z5wJ0_000000_000010,external,Sports,0.1645468950413399,0.04745153273121239,0.010298954818347195,0.7815995362530318,0.04395027259153417,0.21463539653006847,0.060018620961391655,0.006570416015893921,0.00613860685340728,0.6196226537936217,0.011849626485106013
external_S-C86j0keqc_000217_000227,external,Event,0.1053204411955001,0.028571839625588957,0.14565675167285452,0.43278809145028563,0.06399241774101594,0.11717958783309412,0.04016695984735741,0.059455988607971966,0.18937895557806594,0.19717518203451934,0.5898358450597172
external_ShSSAEfnyDs_000000_000010,external,Entertainment,0.08229304085841571,0.030721232421158096,0.031246941598911504,0.10060455459878215,0.025312997370230517,0.02151226956755059,0.0939788450493656,0.014737551623304368,0.04079031495096175,0.5812665503655511,0.34126548252224764
