clip_key,corpus,clip_idx,video_id,category,duration_s,t,start_s,end_s,scene_spatial_gap,agent_action_gap,control_gap,visual_gap,dominant_type,dominance_margin,visual_minus_control
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,2,3.874,5.811,0.0576877037946848,0.030379422006002632,0.03865051498576799,0.0576877037946848,scene_spatial,0.027308281788682165,0.019037188808916805
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,3,5.811,7.748,0.06165737632202106,0.03186258358580074,0.08278157619532811,0.06165737632202106,scene_spatial,0.02979479273622032,-0.021124199873307048
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,4,7.748,9.685,0.06960629769329085,0.03438409568337608,0.10830812942121981,0.06960629769329085,scene_spatial,0.03522220200991477,-0.03870183172792896
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,5,9.685,11.622,0.1012007389123365,0.05113373316475478,0.15982042522781403,0.1012007389123365,scene_spatial,0.050067005747581717,-0.05861968631547754
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,6,11.622,13.559000000000001,0.12993070970750464,0.051897750780902974,0.13127099281550414,0.12993070970750464,scene_spatial,0.07803295892660167,-0.001340283107999496
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,7,13.559000000000001,15.496,0.2858741038820771,0.506424502407856,0.016992098230559693,0.506424502407856,agent_action,0.22055039852577885,0.4894324041772963
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,8,15.496,17.433,0.23414972525406963,0.13273152623455498,0.16710638413564272,0.23414972525406963,scene_spatial,0.10141819901951465,0.06704334111842691
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,9,17.433,19.37,0.11654311150923713,0.05222267432673244,0.25689739566748815,0.11654311150923713,scene_spatial,0.06432043718250469,-0.14035428415825102
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,5.0,PbGvLf7HvXQ_000063_000073,Food & Cooking,16.39,0,0.0,1.49,0.21838299820299045,0.6033110038429528,0.03720222846698695,0.6033110038429528,agent_action,0.3849280056399623,0.5661087753759658
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,5.0,PbGvLf7HvXQ_000063_000073,Food & Cooking,16.39,1,1.49,2.98,0.17141653375945776,0.1012934247487507,0.09901599827305585,0.17141653375945776,scene_spatial,0.07012310901070706,0.0724005354864019
