query_vid,tier,gt,n_refs,correct_rank,correct_rank_pct,self_cos,distractor_mean_cos,cos_margin,z_margin,top_ref,top_cos,source_vid,source_rank,source_rank_pct,source_cos,word_count,alignment_cosine,high_alignment
g8Idd47kGqo_000037_000047,tier2_vatex_long,2,60,43,0.288135593220339,-0.031086937,0.06326719672881356,-0.09435413372881356,-0.697610492149974,GOH6fBhoi2o_000010_000020,0.475188643,,nan,nan,nan,18,0.0,False
g8Idd47kGqo_000037_000047,tier3_va11y,3,60,58,0.03389830508474576,-0.365649283,-0.10317922052542373,-0.26247006247457627,-1.3394353071073992,0m0-Q0zz_-c_000112_000122,0.555419624,,nan,nan,nan,54,0.0,False
gFBO3zrod9Y_000005_000015,tier0_cross,0,60,16,0.7457627118644068,0.090392299,-0.025445968711864407,0.1158382677118644,0.6276664972397242,0m0-Q0zz_-c_000112_000122,0.491741389,h8wsO9A9v_c_000016_000026,45,0.2542372881355932,-0.16919677,39,0.9822662711684517,True
gFBO3zrod9Y_000005_000015,tier1_vatex_short,1,60,14,0.7796610169491526,0.118413292,0.01803142177966102,0.10038187022033898,0.6534870846209495,xW6hpK-DBMY_000080_000090,0.431743205,,nan,nan,nan,12,0.9822662711684517,True
gFBO3zrod9Y_000005_000015,tier2_vatex_long,2,60,36,0.4067796610169492,-0.139259815,-0.07579190320338983,-0.06346791179661018,-0.49711841651448285,GOH6fBhoi2o_000010_000020,0.316485763,,nan,nan,nan,17,0.9822662711684517,True
gFBO3zrod9Y_000005_000015,tier3_va11y,3,60,24,0.6101694915254238,-0.055716015,-0.06338577888135594,0.007669763881355936,0.03638557380042676,0m0-Q0zz_-c_000112_000122,0.639296055,,nan,nan,nan,52,0.9822662711684517,True
h8wsO9A9v_c_000016_000026,tier0_cross,0,60,47,0.22033898305084745,-0.223228708,-0.05722361061016949,-0.1660050973898305,-0.9621152336568141,0m0-Q0zz_-c_000112_000122,0.486587465,heWD9j45Emw_000225_000235,33,0.4576271186440678,-0.103123136,58,0.0,False
h8wsO9A9v_c_000016_000026,tier1_vatex_short,1,60,37,0.3898305084745763,-0.033271175,0.021453780016949153,-0.054724955016949156,-0.38187907776740454,xW6hpK-DBMY_000080_000090,0.381589532,,nan,nan,nan,11,0.0,False
h8wsO9A9v_c_000016_000026,tier2_vatex_long,2,60,51,0.15254237288135594,-0.363963515,-0.1665884920677966,-0.1973750229322034,-0.937146978278646,0m0-Q0zz_-c_000112_000122,0.517081976,,nan,nan,nan,13,0.0,False
h8wsO9A9v_c_000016_000026,tier3_va11y,3,60,45,0.2542372881355932,-0.16919677,-0.021046153983050847,-0.14815061601694915,-0.8044306949655708,0m0-Q0zz_-c_000112_000122,0.491741389,,nan,nan,nan,39,0.0,False
heWD9j45Emw_000225_000235,tier0_cross,0,60,32,0.4745762711864407,-0.082924858,-0.038172515389830505,-0.0447523426101695,-0.22857286269988014,0m0-Q0zz_-c_000112_000122,0.599164963,iEAWgsSvJAE_000023_000033,25,0.5932203389830508,0.017468454,54,0.9961179865402316,True
heWD9j45Emw_000225_000235,tier1_vatex_short,1,60,44,0.2711864406779661,-0.048206132,0.049779199203389836,-0.09798533120338984,-0.7389720369161911,GOH6fBhoi2o_000010_000020,0.392060399,,nan,nan,nan,12,0.9961179865402316,True
heWD9j45Emw_000225_000235,tier2_vatex_long,2,60,33,0.4576271186440678,-0.042115886,-0.013873427745762711,-0.02824245825423729,-0.14655524664008399,0m0-Q0zz_-c_000112_000122,0.526008487,,nan,nan,nan,26,0.9961179865402316,True
heWD9j45Emw_000225_000235,tier3_va11y,3,60,33,0.4576271186440678,-0.103123136,-0.05925929827118644,-0.04386383772881356,-0.25241679276773366,0m0-Q0zz_-c_000112_000122,0.486587465,,nan,nan,nan,58,0.9961179865402316,True
iEAWgsSvJAE_000023_000033,tier0_cross,0,60,24,0.6101694915254238,-0.046277132,-0.09919773503389831,0.05292060303389831,0.2330409007953851,0m0-Q0zz_-c_000112_000122,0.687196791,iGmGQxox43I_000000_000010,26,0.576271186440678,-0.053212155,57,0.0,False
iEAWgsSvJAE_000023_000033,tier1_vatex_short,1,60,9,0.864406779661017,0.318913996,0.1391487657118644,0.17976523028813557,1.2499051893391946,GOH6fBhoi2o_000010_000020,0.508406639,,nan,nan,nan,19,0.0,False
iEAWgsSvJAE_000023_000033,tier2_vatex_long,2,60,9,0.864406779661017,0.187023208,0.022289026677966103,0.16473418132203388,1.1382311281052808,GOH6fBhoi2o_000010_000020,0.441216767,,nan,nan,nan,19,0.0,False
iEAWgsSvJAE_000023_000033,tier3_va11y,3,60,25,0.5932203389830508,0.017468454,-0.03987409694915254,0.05734255094915254,0.29295930168606726,0m0-Q0zz_-c_000112_000122,0.599164963,,nan,nan,nan,54,0.0,False
iGmGQxox43I_000000_000010,tier0_cross,0,60,17,0.7288135593220338,0.118400075,0.01961182105084746,0.09878825394915253,0.6756185831615368,0m0-Q0zz_-c_000112_000122,0.419817865,iZP6gjlr_nM_000113_000123,52,0.13559322033898305,-0.135863945,64,0.9885199242799947,True
iGmGQxox43I_000000_000010,tier1_vatex_short,1,60,17,0.7288135593220338,0.130369827,0.05648249510169492,0.07388733189830507,0.5639245083359486,GOH6fBhoi2o_000010_000020,0.428761482,,nan,nan,nan,17,0.9885199242799947,True
iGmGQxox43I_000000_000010,tier2_vatex_long,2,60,17,0.7288135593220338,0.130369827,0.05648249510169492,0.07388733189830507,0.5639245083359486,GOH6fBhoi2o_000010_000020,0.428761482,,nan,nan,nan,17,0.9885199242799947,True
iGmGQxox43I_000000_000010,tier3_va11y,3,60,26,0.576271186440678,-0.053212155,-0.09908019227118645,0.04586803727118645,0.2019615208182753,0m0-Q0zz_-c_000112_000122,0.687196791,,nan,nan,nan,57,0.9885199242799947,True
iZP6gjlr_nM_000113_000123,tier0_cross,0,60,53,0.11864406779661017,-0.252881259,-0.039002998711864405,-0.2138782602881356,-1.0415617254522034,0m0-Q0zz_-c_000112_000122,0.621551573,j4CKRgv3jUg_000000_000010,41,0.3220338983050847,-0.177141577,47,0.998157530018204,True
iZP6gjlr_nM_000113_000123,tier1_vatex_short,1,60,47,0.22033898305084745,-0.083896242,0.0562224789661017,-0.1401187209661017,-0.8796448930126316,xW6hpK-DBMY_000080_000090,0.41932413,,nan,nan,nan,16,0.998157530018204,True
iZP6gjlr_nM_000113_000123,tier2_vatex_long,2,60,46,0.23728813559322035,-0.054302182,0.04847467450847458,-0.10277685650847457,-0.8202713723779553,xW6hpK-DBMY_000080_000090,0.364854127,,nan,nan,nan,22,0.998157530018204,True
iZP6gjlr_nM_000113_000123,tier3_va11y,3,60,52,0.13559322033898305,-0.135863945,0.023921380711864407,-0.15978532571186443,-1.0995616388758769,0m0-Q0zz_-c_000112_000122,0.419817865,,nan,nan,nan,64,0.998157530018204,True
j4CKRgv3jUg_000000_000010,tier0_cross,0,60,44,0.2711864406779661,-0.260032266,-0.12072585269491526,-0.13930641330508475,-0.705527028743195,0m0-Q0zz_-c_000112_000122,0.554356039,j6CgiNeWQwM_000842_000852,29,0.5254237288135594,-0.141453058,57,0.8776279495608017,True
j4CKRgv3jUg_000000_000010,tier1_vatex_short,1,60,36,0.4067796610169492,-0.126160517,-0.03086346986440678,-0.09529704713559323,-0.44353853837492824,0m0-Q0zz_-c_000112_000122,0.654262543,,nan,nan,nan,21,0.8776279495608017,True
j4CKRgv3jUg_000000_000010,tier2_vatex_long,2,60,36,0.4067796610169492,-0.126160517,-0.03086346986440678,-0.09529704713559323,-0.44353853837492824,0m0-Q0zz_-c_000112_000122,0.654262543,,nan,nan,nan,21,0.8776279495608017,True
j4CKRgv3jUg_000000_000010,tier3_va11y,3,60,41,0.3220338983050847,-0.177141577,-0.04028672213559322,-0.13685485486440677,-0.6629369073095823,0m0-Q0zz_-c_000112_000122,0.621551573,,nan,nan,nan,47,0.8776279495608017,True
j6CgiNeWQwM_000842_000852,tier0_cross,0,60,33,0.4576271186440678,-0.02341092,0.01782757949152542,-0.04123849949152542,-0.21507073417946534,0m0-Q0zz_-c_000112_000122,0.59223026,jeweRSnAJeo_000050_000060,6,0.9152542372881356,0.381108522,40,0.0,False
j6CgiNeWQwM_000842_000852,tier1_vatex_short,1,60,38,0.3728813559322034,-0.117645949,-0.04709031933898305,-0.07055562966101694,-0.5353177309755252,GOH6fBhoi2o_000010_000020,0.293866932,,nan,nan,nan,10,0.0,False
j6CgiNeWQwM_000842_000852,tier2_vatex_long,2,60,32,0.4745762711864407,-0.064050362,-0.027069679966101694,-0.0369806820338983,-0.1996065454332279,0m0-Q0zz_-c_000112_000122,0.530210733,,nan,nan,nan,25,0.0,False
j6CgiNeWQwM_000842_000852,tier3_va11y,3,60,29,0.5254237288135594,-0.141453058,-0.12273566977966102,-0.01871738822033897,-0.09441173928465235,0m0-Q0zz_-c_000112_000122,0.554356039,,nan,nan,nan,57,0.0,False
jeweRSnAJeo_000050_000060,tier0_cross,0,60,9,0.864406779661017,0.171486005,-0.04072298613559322,0.21220899113559322,1.069231688471301,0m0-Q0zz_-c_000112_000122,0.565749049,lgJywzzdUC8_000000_000010,45,0.2542372881355932,-0.18613638,53,0.0,False
jeweRSnAJeo_000050_000060,tier1_vatex_short,1,60,13,0.7966101694915254,-0.079075649,-0.19368538859322035,0.11460973959322035,0.6810113430429288,0m0-Q0zz_-c_000112_000122,0.254905671,,nan,nan,nan,10,0.0,False
jeweRSnAJeo_000050_000060,tier2_vatex_long,2,60,12,0.8135593220338984,0.175715372,0.037802206,0.137913166,0.9678864667549709,xW6hpK-DBMY_000080_000090,0.374791443,,nan,nan,nan,20,0.0,False
jeweRSnAJeo_000050_000060,tier3_va11y,3,60,6,0.9152542372881356,0.381108522,0.010971317762711864,0.37013720423728813,1.9924426479063229,0m0-Q0zz_-c_000112_000122,0.59223026,,nan,nan,nan,40,0.0,False
lgJywzzdUC8_000000_000010,tier0_cross,0,60,35,0.423728813559322,0.067701846,0.1172103360338983,-0.0495084900338983,-0.325009392861187,_TKzyWZHjm8_000002_000012,0.49039638,rGQ64NXktF8_000006_000016,26,0.576271186440678,0.115245432,46,0.9881697079061769,True
lgJywzzdUC8_000000_000010,tier1_vatex_short,1,60,48,0.2033898305084746,-0.270042479,-0.11279945245762713,-0.15724302654237288,-0.8262465424518058,0m0-Q0zz_-c_000112_000122,0.437279433,,nan,nan,nan,16,0.9881697079061769,True
lgJywzzdUC8_000000_000010,tier2_vatex_long,2,60,46,0.23728813559322035,0.04288863,0.14316409455932202,-0.10027546455932203,-0.7886463173329363,GOH6fBhoi2o_000010_000020,0.521134853,,nan,nan,nan,26,0.9881697079061769,True
lgJywzzdUC8_000000_000010,tier3_va11y,3,60,45,0.2542372881355932,-0.18613638,-0.034661589779661016,-0.15147479022033897,-0.7596759616597384,0m0-Q0zz_-c_000112_000122,0.565749049,,nan,nan,nan,53,0.9881697079061769,True
rGQ64NXktF8_000006_000016,tier0_cross,0,60,29,0.5254237288135594,-0.028657887,-0.01254004106779661,-0.01611784593220339,-0.07963458183111943,0m0-Q0zz_-c_000112_000122,0.641647339,u-olDM7oGGM_000012_000022,57,0.05084745762711865,-0.276879668,54,0.0,False
rGQ64NXktF8_000006_000016,tier1_vatex_short,1,60,23,0.6271186440677966,-0.040562648,-0.04095361540677966,0.0003909674067796576,0.00256281544951378,EA3HCx0yTIY_000281_000291,0.368459821,,nan,nan,nan,16,0.0,False
rGQ64NXktF8_000006_000016,tier2_vatex_long,2,60,32,0.4745762711864407,0.126317799,0.12956881676271187,-0.003251017762711861,-0.01887074865295587,0m0-Q0zz_-c_000112_000122,0.503315806,,nan,nan,nan,22,0.0,False
rGQ64NXktF8_000006_000016,tier3_va11y,3,60,26,0.576271186440678,0.115245432,0.11640451254237288,-0.0011590805423728895,-0.007602354208624125,_TKzyWZHjm8_000002_000012,0.49039638,,nan,nan,nan,46,0.0,False
u-olDM7oGGM_000012_000022,tier0_cross,0,60,53,0.11864406779661017,-0.19609955,0.007601317220338985,-0.203700867220339,-1.1669438357692072,0m0-Q0zz_-c_000112_000122,0.510174513,v2Hr1CH-yb0_000076_000086,55,0.0847457627118644,-0.220536202,62,0.9724902192967442,True
u-olDM7oGGM_000012_000022,tier1_vatex_short,1,60,58,0.03389830508474576,-0.432003021,-0.16763038884745762,-0.26437263215254236,-1.339727320617996,0m0-Q0zz_-c_000112_000122,0.473632187,,nan,nan,nan,15,0.9724902192967442,True
u-olDM7oGGM_000012_000022,tier2_vatex_long,2,60,54,0.1016949152542373,0.016088698,0.17709200020338983,-0.16100330220338982,-1.3531158933529184,GOH6fBhoi2o_000010_000020,0.455988467,,nan,nan,nan,26,0.9724902192967442,True
u-olDM7oGGM_000012_000022,tier3_va11y,3,60,57,0.05084745762711865,-0.276879668,-0.008332892237288135,-0.2685467757627119,-1.346659214211817,0m0-Q0zz_-c_000112_000122,0.641647339,,nan,nan,nan,54,0.9724902192967442,True
v2Hr1CH-yb0_000076_000086,tier0_cross,0,60,49,0.1864406779661017,-0.34299913,-0.15300207562711865,-0.18999705437288134,-0.8774206937216601,0m0-Q0zz_-c_000112_000122,0.628132224,wbOD_G3ttgU_000083_000093,45,0.2542372881355932,-0.323272258,54,0.0,False
v2Hr1CH-yb0_000076_000086,tier1_vatex_short,1,60,55,0.0847457627118644,-0.07789392,0.07952098247457627,-0.1574149024745763,-1.238988485144785,GOH6fBhoi2o_000010_000020,0.435495198,,nan,nan,nan,16,0.0,False
