clip_key,corpus,clip_idx,video_id,category,duration_s,n_trs,mean_scene_spatial_gap,mean_agent_action_gap,mean_control_gap,mean_visual_gap,max_visual_gap,dominant_clip_type,scene_agent_time_rho,scene_agent_peak_apart,top1_share,uniform_null,top1_vs_uniform,top_windows
external_3su234u58DA_000172_000182,external,,3su234u58DA_000172_000182,Entertainment,10.0,11,0.1051281239039005,0.12940455322870406,0.17633331395852433,0.19330331968007142,0.7563181075466374,agent_action,-0.18717795982587704,1,0.35569069227028527,0.09090909090909091,3.912597614973138,"9.1-10.0s agent_action (action_state_or_agent_cue, peak=0.756); 0.0-3.6s agent_action (action_state_or_agent_cue, peak=0.404); 6.4-9.1s scene_spatial (static_ad_ok_low_gap, peak=0.168)"
external_iZP6gjlr_nM_000113_000123,external,,iZP6gjlr_nM_000113_000123,How-to & Instructional,10.0,10,0.24478121915430404,0.09485558303975064,0.23029580989875767,0.24478121915430404,0.7526990299855018,scene_spatial,0.8984910578325038,0,0.30749868498327027,0.1,3.0749868498327024,"0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.753); 3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=0.304); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.119)"
external_j4CKRgv3jUg_000000_000010,external,,j4CKRgv3jUg_000000_000010,Entertainment,10.0,10,0.39633441880545184,0.0961268153539757,0.024501349509212157,0.39633441880545184,0.7253805587851099,scene_spatial,0.926475550679746,0,0.1830223478877762,0.1,1.8302234788777618,"0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.725); 3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=0.447); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.421)"
external_ZcYB6tPK2Eo_000138_000148,external,,ZcYB6tPK2Eo_000138_000148,How-to & Instructional,10.0,10,0.23632174193331829,0.12210922693429031,0.2851033928163645,0.23782107649138612,0.7005952820630961,scene_spatial,0.8107606117433909,0,0.2945892317027131,0.1,2.945892317027131,"0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.701); 9.0-10.0s scene_spatial (layout_replay_or_scene_cue, peak=0.448); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.330)"
external__oAKCHh_Av4_000003_000013,external,,_oAKCHh_Av4_000003_000013,People & Vlogs,10.0,10,0.32953304983248777,0.15521945444287175,0.1594429757736993,0.3309372605313422,0.654070096417799,scene_spatial,0.7824254919482663,1,0.19764172078044195,0.1,1.9764172078044195,"0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.654); 3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=0.418); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.182)"
external_g8Idd47kGqo_000037_000047,external,,g8Idd47kGqo_000037_000047,Entertainment,10.0,11,0.28164446454148134,0.09214696522071703,0.20280451385967432,0.2823850458411598,0.6473849405803418,scene_spatial,0.9029403044710128,0,0.20841463555934664,0.09090909090909091,2.292560991152813,"6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.647); 3.6-6.4s scene_spatial (layout_replay_or_scene_cue, peak=0.323); 0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.187)"
external_21T1JDdJgsM_000047_000057,external,,21T1JDdJgsM_000047_000057,Entertainment,10.0,11,0.15575024210636115,0.10778199090510557,0.11087690506530855,0.19655998774942185,0.6462093690891746,scene_spatial,0.2856588600746781,1,0.29887215070304585,0.09090909090909091,3.2875936577335043,"6.4-9.1s agent_action (action_state_or_agent_cue, peak=0.646); 0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.284); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.235)"
external_Ccgwurislg8_000082_000092,external,,Ccgwurislg8_000082_000092,How-to & Instructional,10.0,10,0.1984037632041385,0.09171639205059266,0.1903628292853138,0.1984037632041385,0.6006253530729058,scene_spatial,0.9530458741314773,1,0.3027288108718582,0.1,3.027288108718582,"6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.601); 9.0-10.0s scene_spatial (layout_replay_or_scene_cue, peak=0.560); 3.0-6.0s scene_spatial (static_ad_ok_low_gap, peak=0.125)"
external_1-jIze6gy0g_000026_000036,external,,1-jIze6gy0g_000026_000036,How-to & Instructional,10.0,10,0.19188481341365787,0.06474103596847772,0.08029502057640503,0.19188481341365787,0.595758704526796,scene_spatial,0.35629823908829106,1,0.3104772566041912,0.1,3.1047725660419117,"6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.596); 0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.262); 9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.251)"
external_gFBO3zrod9Y_000005_000015,external,,gFBO3zrod9Y_000005_000015,People & Vlogs,10.0,10,0.09866285786706033,0.2751812820277954,0.04412045637328023,0.281395414445399,0.5856489099335302,agent_action,0.6176262411199848,1,0.20812311781547085,0.1,2.0812311781547086,"6.0-9.0s agent_action (action_state_or_agent_cue, peak=0.586); 0.0-3.0s agent_action (action_state_or_agent_cue, peak=0.509); 9.0-10.0s agent_action (action_state_or_agent_cue, peak=0.347)"
