clip_idx,delta_tribe_minus_uniform,dominant_type,end_s,need_or_gap_score,route_or_recommendation,source,start_s,tribe_frame_count,uniform_frame_count,window_idx
16,1,,2.98,0.644815716432821,extended_or_integrated_ad,coarse_need_windows,0.0,3,2,0
16,0,agent_action,16.39,0.5718373475852043,action_state_or_agent_cue,tribe_blind_spot_windows,13.41,0,0,4
17,-1,,5.96,0.5085567810193516,extended_or_integrated_ad,coarse_need_windows,2.98,1,2,1
17,-1,,8.94,0.5781991369169097,extended_or_integrated_ad,coarse_need_windows,5.96,1,2,2
17,0,,11.92,0.8025382417134777,extended_or_integrated_ad,coarse_need_windows,8.94,2,2,3
17,0,,14.9,0.9897358223989621,extended_or_integrated_ad,coarse_need_windows,11.92,0,0,4
17,0,,17.88,0.5208642863381827,extended_or_integrated_ad,coarse_need_windows,14.9,0,0,5
17,-1,scene_spatial,3.521818181818182,0.44676741467035663,layout_replay_or_scene_cue,tribe_blind_spot_windows,0.0,1,2,0
18,-2,,5.96,0.598216940713403,extended_or_integrated_ad,coarse_need_windows,2.98,1,3,1
18,-1,,8.94,0.47370538694954023,extended_or_integrated_ad,coarse_need_windows,5.96,1,2,2
18,0,,11.92,0.7036559923887971,extended_or_integrated_ad,coarse_need_windows,8.94,1,1,3
18,0,,14.9,0.7941592025899242,extended_or_integrated_ad,coarse_need_windows,11.92,0,0,4
18,0,,16.39,0.6837089417348918,extended_or_integrated_ad,coarse_need_windows,14.9,0,0,5
19,-1,,2.98,0.5766175841764636,extended_or_integrated_ad,coarse_need_windows,0.0,1,2,0
19,-1,,5.96,0.484462384402469,standard_ad_slot,coarse_need_windows,2.98,1,2,1
19,1,,8.94,0.44276577040226794,extended_or_integrated_ad,coarse_need_windows,5.96,2,1,2
19,-2,agent_action,4.172,0.649574634494382,action_state_or_agent_cue,tribe_blind_spot_windows,0.0,1,3,0
19,0,agent_action,6.257999999999999,0.7612392421689049,action_state_or_agent_cue,tribe_blind_spot_windows,4.172,1,1,1
20,0,,14.9,0.5864548320043322,extended_or_integrated_ad,coarse_need_windows,11.92,0,0,4
20,0,,17.88,0.637072885504075,extended_or_integrated_ad,coarse_need_windows,14.9,0,0,5
