video_id,clip_key,category,mean_visual_gap,max_visual_gap,top1_vs_uniform,dominant_clip_type,top_windows,adqa_fail,clip_fail,ensemble_fail,adqa_full_order,clip_full_order,ensemble_full_order
iGmGQxox43I_000000_000010,external_iGmGQxox43I_000000_000010,How-to & Instructional,0.18212301541777867,1.0863189082371136,5.964753580129161,agent_action,"0.0-3.6s agent_action (action_state_or_agent_cue, peak=1.086); 6.4-9.1s scene_spatial (static_ad_ok_low_gap, peak=0.137); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.085)",0,0,0,1,1,1
BHxn3qfPAl4_000018_000028,external_BHxn3qfPAl4_000018_000028,Health & Wellness,0.3167171812470297,1.0809082613645236,3.4128500926555296,agent_action,"6.0-9.0s agent_action (action_state_or_agent_cue, peak=1.081); 9.0-10.0s agent_action (action_state_or_agent_cue, peak=0.755); 0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.179)",0,1,0,1,0,1
zTJ0Zbv1jBo_000045_000055,external_zTJ0Zbv1jBo_000045_000055,Health & Wellness,0.5920116555955585,1.0262665348950901,1.7335242054696969,scene_spatial,"0.0-3.6s scene_spatial (layout_replay_or_scene_cue, peak=1.026); 3.6-6.4s scene_spatial (layout_replay_or_scene_cue, peak=0.867); 6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.809)",0,0,0,1,1,1
GOH6fBhoi2o_000010_000020,external_GOH6fBhoi2o_000010_000020,Entertainment,0.818331242947543,1.0077491301049082,1.231468477819693,scene_spatial,"3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=1.008); 0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.910); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.740)",1,1,1,0,0,0
0m0-Q0zz_-c_000112_000122,external_0m0-Q0zz_-c_000112_000122,How-to & Instructional,0.26749466598269644,1.0014171641982383,3.7436902172210695,scene_spatial,"0.0-3.6s scene_spatial (layout_replay_or_scene_cue, peak=1.001); 6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.321); 9.1-10.0s agent_action (static_ad_ok_low_gap, peak=0.237)",0,1,0,1,0,1
BcW6Y7eufQE_000239_000249,external_BcW6Y7eufQE_000239_000249,People & Vlogs,0.3297555207931808,0.9195952474135034,2.788718275895868,scene_spatial,"0.0-3.6s agent_action (action_state_or_agent_cue, peak=0.920); 9.1-10.0s agent_action (action_state_or_agent_cue, peak=0.662); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.257)",0,0,0,1,1,1
crjesEwF0Ks_000197_000207,external_crjesEwF0Ks_000197_000207,How-to & Instructional,0.3278958838994596,0.9026884582180909,2.7529728262611424,scene_spatial,"0.0-3.0s agent_action (action_state_or_agent_cue, peak=0.903); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.528); 9.0-10.0s scene_spatial (layout_replay_or_scene_cue, peak=0.453)",1,0,0,0,1,1
HpRmj5ce32c_000001_000011,external_HpRmj5ce32c_000001_000011,Sports,0.5038012674053584,0.8163882973825453,1.6204570139075882,scene_spatial,"6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.816); 0.0-3.6s agent_action (action_state_or_agent_cue, peak=0.662); 3.6-6.4s scene_spatial (layout_replay_or_scene_cue, peak=0.498)",0,0,0,1,1,1
2kJxrcNRS9w_000047_000057,external_2kJxrcNRS9w_000047_000057,Sports,0.42775132100150925,0.7995618815521248,1.8692213028824372,scene_spatial,"6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.800); 0.0-3.6s scene_spatial (layout_replay_or_scene_cue, peak=0.529); 3.6-6.4s scene_spatial (layout_replay_or_scene_cue, peak=0.385)",0,0,0,1,1,1
1YemrpNBpf4_000001_000011,external_1YemrpNBpf4_000001_000011,Entertainment,0.2593689352602941,0.7834556265811858,3.02062244190861,agent_action,"0.0-3.0s agent_action (action_state_or_agent_cue, peak=0.783); 9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.283); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.155)",1,1,0,0,0,1
3su234u58DA_000172_000182,external_3su234u58DA_000172_000182,Entertainment,0.19330331968007142,0.7563181075466374,3.912597614973138,agent_action,"9.1-10.0s agent_action (action_state_or_agent_cue, peak=0.756); 0.0-3.6s agent_action (action_state_or_agent_cue, peak=0.404); 6.4-9.1s scene_spatial (static_ad_ok_low_gap, peak=0.168)",0,0,0,1,1,1
iZP6gjlr_nM_000113_000123,external_iZP6gjlr_nM_000113_000123,How-to & Instructional,0.24478121915430404,0.7526990299855018,3.0749868498327024,scene_spatial,"0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.753); 3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=0.304); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.119)",0,1,0,1,0,1
j4CKRgv3jUg_000000_000010,external_j4CKRgv3jUg_000000_000010,Entertainment,0.39633441880545184,0.7253805587851099,1.8302234788777618,scene_spatial,"0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.725); 3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=0.447); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.421)",0,1,0,1,0,1
ZcYB6tPK2Eo_000138_000148,external_ZcYB6tPK2Eo_000138_000148,How-to & Instructional,0.23782107649138612,0.7005952820630961,2.945892317027131,scene_spatial,"0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.701); 9.0-10.0s scene_spatial (layout_replay_or_scene_cue, peak=0.448); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.330)",0,0,0,1,1,1
_oAKCHh_Av4_000003_000013,external__oAKCHh_Av4_000003_000013,People & Vlogs,0.3309372605313422,0.654070096417799,1.9764172078044195,scene_spatial,"0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.654); 3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=0.418); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.182)",0,1,0,1,0,1
g8Idd47kGqo_000037_000047,external_g8Idd47kGqo_000037_000047,Entertainment,0.2823850458411598,0.6473849405803418,2.292560991152813,scene_spatial,"6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.647); 3.6-6.4s scene_spatial (layout_replay_or_scene_cue, peak=0.323); 0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.187)",1,0,0,0,1,1
