video_id,tier,category,adqa,mdv,n_q,n_visual_only
AEkLDauJVi0_000069_000079,tier2_vatex_long,Food & Cooking,0.6,0.625,5,4
AEkLDauJVi0_000069_000079,tier3_va11y,Food & Cooking,0.9,0.875,5,4
BHxn3qfPAl4_000018_000028,tier0_cross,Health & Wellness,0.0,0.0,5,5
BHxn3qfPAl4_000018_000028,tier1_vatex_short,Health & Wellness,0.4,0.4,5,5
BHxn3qfPAl4_000018_000028,tier2_vatex_long,Health & Wellness,0.5,0.5,5,5
BHxn3qfPAl4_000018_000028,tier3_va11y,Health & Wellness,0.6,0.6,5,5
BcW6Y7eufQE_000239_000249,tier0_cross,People & Vlogs,0.0,0.0,5,3
BcW6Y7eufQE_000239_000249,tier1_vatex_short,People & Vlogs,0.1,0.0,5,3
BcW6Y7eufQE_000239_000249,tier2_vatex_long,People & Vlogs,0.2,0.16666666666666666,5,3
BcW6Y7eufQE_000239_000249,tier3_va11y,People & Vlogs,0.6,0.5,5,3
Bss3WwpDdS8_000041_000051,tier0_cross,People & Vlogs,0.0,0.0,5,5
Bss3WwpDdS8_000041_000051,tier1_vatex_short,People & Vlogs,0.1,0.1,5,5
Bss3WwpDdS8_000041_000051,tier2_vatex_long,People & Vlogs,0.2,0.2,5,5
Bss3WwpDdS8_000041_000051,tier3_va11y,People & Vlogs,0.4,0.4,5,5
Ccgwurislg8_000082_000092,tier0_cross,How-to & Instructional,0.0,0.0,5,5
Ccgwurislg8_000082_000092,tier1_vatex_short,How-to & Instructional,0.0,0.0,5,5
Ccgwurislg8_000082_000092,tier2_vatex_long,How-to & Instructional,0.0,0.0,5,5
Ccgwurislg8_000082_000092,tier3_va11y,How-to & Instructional,0.1,0.1,5,5
D297atE3gag_000203_000213,tier0_cross,How-to & Instructional,0.0,0.0,5,3
D297atE3gag_000203_000213,tier1_vatex_short,How-to & Instructional,0.2,0.16666666666666666,5,3
D297atE3gag_000203_000213,tier2_vatex_long,How-to & Instructional,0.2,0.0,5,3
D297atE3gag_000203_000213,tier3_va11y,How-to & Instructional,0.8,0.8333333333333334,5,3
EA3HCx0yTIY_000281_000291,tier0_cross,Music,0.0,0.0,5,5
EA3HCx0yTIY_000281_000291,tier1_vatex_short,Music,0.2,0.2,5,5
EA3HCx0yTIY_000281_000291,tier2_vatex_long,Music,0.3,0.3,5,5
EA3HCx0yTIY_000281_000291,tier3_va11y,Music,0.8,0.8,5,5
F-mRnL_XmJU_000000_000010,tier0_cross,Entertainment,0.0,0.0,5,5
F-mRnL_XmJU_000000_000010,tier1_vatex_short,Entertainment,0.4,0.4,5,5
F-mRnL_XmJU_000000_000010,tier2_vatex_long,Entertainment,0.7,0.7,5,5
F-mRnL_XmJU_000000_000010,tier3_va11y,Entertainment,0.8,0.8,5,5
GOH6fBhoi2o_000010_000020,tier0_cross,Entertainment,0.1,0.1,5,5
GOH6fBhoi2o_000010_000020,tier1_vatex_short,Entertainment,0.3,0.3,5,5
GOH6fBhoi2o_000010_000020,tier2_vatex_long,Entertainment,0.3,0.3,5,5
GOH6fBhoi2o_000010_000020,tier3_va11y,Entertainment,0.2,0.2,5,5
HpRmj5ce32c_000001_000011,tier0_cross,Sports,0.0,0.0,5,5
HpRmj5ce32c_000001_000011,tier1_vatex_short,Sports,0.5,0.5,5,5
HpRmj5ce32c_000001_000011,tier2_vatex_long,Sports,0.6,0.6,5,5
HpRmj5ce32c_000001_000011,tier3_va11y,Sports,0.7,0.7,5,5
N-LZPc27kjM_000229_000239,tier0_cross,How-to & Instructional,0.0,0.0,5,4
N-LZPc27kjM_000229_000239,tier1_vatex_short,How-to & Instructional,0.4,0.375,5,4
N-LZPc27kjM_000229_000239,tier2_vatex_long,How-to & Instructional,0.2,0.125,5,4
N-LZPc27kjM_000229_000239,tier3_va11y,How-to & Instructional,0.6,0.5,5,4
OASCPKazLIM_000132_000142,tier0_cross,How-to & Instructional,0.0,0.0,5,5
OASCPKazLIM_000132_000142,tier1_vatex_short,How-to & Instructional,0.1,0.1,5,5
OASCPKazLIM_000132_000142,tier2_vatex_long,How-to & Instructional,0.3,0.3,5,5
OASCPKazLIM_000132_000142,tier3_va11y,How-to & Instructional,0.5,0.5,5,5
RjPp0ZPW0yc_000000_000010,tier0_cross,How-to & Instructional,0.0,0.0,5,5
RjPp0ZPW0yc_000000_000010,tier1_vatex_short,How-to & Instructional,0.2,0.2,5,5
RjPp0ZPW0yc_000000_000010,tier2_vatex_long,How-to & Instructional,0.4,0.4,5,5
RjPp0ZPW0yc_000000_000010,tier3_va11y,How-to & Instructional,0.7,0.7,5,5
RlfVK8z5wJ0_000000_000010,tier0_cross,Sports,0.0,0.0,5,5
RlfVK8z5wJ0_000000_000010,tier1_vatex_short,Sports,0.2,0.2,5,5
RlfVK8z5wJ0_000000_000010,tier2_vatex_long,Sports,0.5,0.5,5,5
RlfVK8z5wJ0_000000_000010,tier3_va11y,Sports,1.0,1.0,5,5
S-C86j0keqc_000217_000227,tier0_cross,Event,0.0,0.0,5,5
S-C86j0keqc_000217_000227,tier1_vatex_short,Event,0.3,0.3,5,5
S-C86j0keqc_000217_000227,tier2_vatex_long,Event,0.5,0.5,5,5
S-C86j0keqc_000217_000227,tier3_va11y,Event,0.6,0.6,5,5
ShSSAEfnyDs_000000_000010,tier0_cross,Entertainment,0.0,0.0,5,5
ShSSAEfnyDs_000000_000010,tier1_vatex_short,Entertainment,0.0,0.0,5,5
ShSSAEfnyDs_000000_000010,tier2_vatex_long,Entertainment,0.4,0.4,5,5
ShSSAEfnyDs_000000_000010,tier3_va11y,Entertainment,0.4,0.4,5,5
Xdz1cxEjLYc_000007_000017,tier0_cross,Food & Cooking,0.0,0.0,5,5
Xdz1cxEjLYc_000007_000017,tier1_vatex_short,Food & Cooking,0.6,0.6,5,5
Xdz1cxEjLYc_000007_000017,tier2_vatex_long,Food & Cooking,0.3,0.3,5,5
Xdz1cxEjLYc_000007_000017,tier3_va11y,Food & Cooking,0.8,0.8,5,5
Z5w-wkrjHuw_000345_000355,tier0_cross,Entertainment,0.0,0.0,5,5
Z5w-wkrjHuw_000345_000355,tier1_vatex_short,Entertainment,0.2,0.2,5,5
Z5w-wkrjHuw_000345_000355,tier2_vatex_long,Entertainment,0.2,0.2,5,5
Z5w-wkrjHuw_000345_000355,tier3_va11y,Entertainment,0.5,0.5,5,5
ZcYB6tPK2Eo_000138_000148,tier0_cross,How-to & Instructional,0.0,0.0,5,5
ZcYB6tPK2Eo_000138_000148,tier1_vatex_short,How-to & Instructional,0.2,0.2,5,5
ZcYB6tPK2Eo_000138_000148,tier2_vatex_long,How-to & Instructional,0.3,0.3,5,5
ZcYB6tPK2Eo_000138_000148,tier3_va11y,How-to & Instructional,0.8,0.8,5,5
_TKzyWZHjm8_000002_000012,tier0_cross,Health & Wellness,0.0,0.0,5,5
_TKzyWZHjm8_000002_000012,tier1_vatex_short,Health & Wellness,0.2,0.2,5,5
_TKzyWZHjm8_000002_000012,tier2_vatex_long,Health & Wellness,0.4,0.4,5,5
_TKzyWZHjm8_000002_000012,tier3_va11y,Health & Wellness,0.6,0.6,5,5
_oAKCHh_Av4_000003_000013,tier0_cross,People & Vlogs,0.0,0.0,5,5
_oAKCHh_Av4_000003_000013,tier1_vatex_short,People & Vlogs,0.3,0.3,5,5
_oAKCHh_Av4_000003_000013,tier2_vatex_long,People & Vlogs,0.1,0.1,5,5
_oAKCHh_Av4_000003_000013,tier3_va11y,People & Vlogs,0.4,0.4,5,5
bgt29znHCzs_000343_000353,tier0_cross,Sports,0.0,0.0,5,5
bgt29znHCzs_000343_000353,tier1_vatex_short,Sports,0.3,0.3,5,5
bgt29znHCzs_000343_000353,tier2_vatex_long,Sports,0.3,0.3,5,5
bgt29znHCzs_000343_000353,tier3_va11y,Sports,0.6,0.6,5,5
c_gQ9CSaZY4_000000_000010,tier0_cross,How-to & Instructional,0.0,0.0,5,5
c_gQ9CSaZY4_000000_000010,tier1_vatex_short,How-to & Instructional,0.3,0.3,5,5
c_gQ9CSaZY4_000000_000010,tier2_vatex_long,How-to & Instructional,0.3,0.3,5,5
c_gQ9CSaZY4_000000_000010,tier3_va11y,How-to & Instructional,1.0,1.0,5,5
crjesEwF0Ks_000197_000207,tier0_cross,How-to & Instructional,0.0,0.0,5,5
crjesEwF0Ks_000197_000207,tier1_vatex_short,How-to & Instructional,0.0,0.0,5,5
crjesEwF0Ks_000197_000207,tier2_vatex_long,How-to & Instructional,0.2,0.2,5,5
crjesEwF0Ks_000197_000207,tier3_va11y,How-to & Instructional,0.5,0.5,5,5
d7_SY48r__8_000060_000070,tier0_cross,How-to & Instructional,0.0,0.0,5,5
d7_SY48r__8_000060_000070,tier1_vatex_short,How-to & Instructional,0.1,0.1,5,5
d7_SY48r__8_000060_000070,tier2_vatex_long,How-to & Instructional,0.0,0.0,5,5
d7_SY48r__8_000060_000070,tier3_va11y,How-to & Instructional,0.1,0.1,5,5
dlBeUWrse3I_000019_000029,tier0_cross,How-to & Instructional,0.0,0.0,5,4
dlBeUWrse3I_000019_000029,tier1_vatex_short,How-to & Instructional,0.1,0.0,5,4
dlBeUWrse3I_000019_000029,tier2_vatex_long,How-to & Instructional,0.1,0.0,5,4
dlBeUWrse3I_000019_000029,tier3_va11y,How-to & Instructional,0.9,0.875,5,4
eb-ufaFcUas_000008_000018,tier0_cross,Entertainment,0.0,0.0,5,5
eb-ufaFcUas_000008_000018,tier1_vatex_short,Entertainment,0.1,0.1,5,5
eb-ufaFcUas_000008_000018,tier2_vatex_long,Entertainment,0.1,0.1,5,5
eb-ufaFcUas_000008_000018,tier3_va11y,Entertainment,0.3,0.3,5,5
g8Idd47kGqo_000037_000047,tier0_cross,Entertainment,0.0,0.0,5,5
g8Idd47kGqo_000037_000047,tier1_vatex_short,Entertainment,0.0,0.0,5,5
g8Idd47kGqo_000037_000047,tier2_vatex_long,Entertainment,0.2,0.2,5,5
g8Idd47kGqo_000037_000047,tier3_va11y,Entertainment,0.3,0.3,5,5
gFBO3zrod9Y_000005_000015,tier0_cross,People & Vlogs,0.0,0.0,5,5
gFBO3zrod9Y_000005_000015,tier1_vatex_short,People & Vlogs,0.6,0.6,5,5
gFBO3zrod9Y_000005_000015,tier2_vatex_long,People & Vlogs,0.3,0.3,5,5
gFBO3zrod9Y_000005_000015,tier3_va11y,People & Vlogs,0.8,0.8,5,5
h8wsO9A9v_c_000016_000026,tier0_cross,People & Vlogs,0.0,0.0,5,5
h8wsO9A9v_c_000016_000026,tier1_vatex_short,People & Vlogs,0.1,0.1,5,5
h8wsO9A9v_c_000016_000026,tier2_vatex_long,People & Vlogs,0.2,0.2,5,5
h8wsO9A9v_c_000016_000026,tier3_va11y,People & Vlogs,0.3,0.3,5,5
heWD9j45Emw_000225_000235,tier0_cross,Music,0.0,0.0,5,5
heWD9j45Emw_000225_000235,tier1_vatex_short,Music,0.3,0.3,5,5
heWD9j45Emw_000225_000235,tier2_vatex_long,Music,0.4,0.4,5,5
heWD9j45Emw_000225_000235,tier3_va11y,Music,0.6,0.6,5,5
iEAWgsSvJAE_000023_000033,tier0_cross,Film & Animation,0.0,0.0,5,5
iEAWgsSvJAE_000023_000033,tier1_vatex_short,Film & Animation,0.1,0.1,5,5
iEAWgsSvJAE_000023_000033,tier2_vatex_long,Film & Animation,0.1,0.1,5,5
iEAWgsSvJAE_000023_000033,tier3_va11y,Film & Animation,0.5,0.5,5,5
iGmGQxox43I_000000_000010,tier0_cross,How-to & Instructional,0.0,0.0,5,4
iGmGQxox43I_000000_000010,tier1_vatex_short,How-to & Instructional,0.1,0.125,5,4
iGmGQxox43I_000000_000010,tier2_vatex_long,How-to & Instructional,0.1,0.125,5,4
iGmGQxox43I_000000_000010,tier3_va11y,How-to & Instructional,0.4,0.25,5,4
iZP6gjlr_nM_000113_000123,tier0_cross,How-to & Instructional,0.0,0.0,5,5
iZP6gjlr_nM_000113_000123,tier1_vatex_short,How-to & Instructional,0.1,0.1,5,5
iZP6gjlr_nM_000113_000123,tier2_vatex_long,How-to & Instructional,0.1,0.1,5,5
iZP6gjlr_nM_000113_000123,tier3_va11y,How-to & Instructional,0.5,0.5,5,5
j4CKRgv3jUg_000000_000010,tier0_cross,Entertainment,0.0,0.0,5,4
j4CKRgv3jUg_000000_000010,tier1_vatex_short,Entertainment,0.1,0.0,5,4
j4CKRgv3jUg_000000_000010,tier2_vatex_long,Entertainment,0.1,0.0,5,4
j4CKRgv3jUg_000000_000010,tier3_va11y,Entertainment,0.7,0.625,5,4
j6CgiNeWQwM_000842_000852,tier0_cross,Food & Cooking,0.0,0.0,5,5
j6CgiNeWQwM_000842_000852,tier1_vatex_short,Food & Cooking,0.1,0.1,5,5
j6CgiNeWQwM_000842_000852,tier2_vatex_long,Food & Cooking,0.2,0.2,5,5
j6CgiNeWQwM_000842_000852,tier3_va11y,Food & Cooking,0.4,0.4,5,5
jeweRSnAJeo_000050_000060,tier0_cross,Film & Animation,0.0,0.0,5,5
jeweRSnAJeo_000050_000060,tier1_vatex_short,Film & Animation,0.2,0.2,5,5
jeweRSnAJeo_000050_000060,tier2_vatex_long,Film & Animation,0.6,0.6,5,5
jeweRSnAJeo_000050_000060,tier3_va11y,Film & Animation,0.6,0.6,5,5
lgJywzzdUC8_000000_000010,tier0_cross,Event,0.0,0.0,5,5
lgJywzzdUC8_000000_000010,tier1_vatex_short,Event,0.3,0.3,5,5
lgJywzzdUC8_000000_000010,tier2_vatex_long,Event,0.4,0.4,5,5
lgJywzzdUC8_000000_000010,tier3_va11y,Event,0.7,0.7,5,5
rGQ64NXktF8_000006_000016,tier0_cross,People & Vlogs,0.0,0.0,5,5
rGQ64NXktF8_000006_000016,tier1_vatex_short,People & Vlogs,0.1,0.1,5,5
rGQ64NXktF8_000006_000016,tier2_vatex_long,People & Vlogs,0.2,0.2,5,5
rGQ64NXktF8_000006_000016,tier3_va11y,People & Vlogs,0.5,0.5,5,5
u-olDM7oGGM_000012_000022,tier0_cross,Health & Wellness,0.0,0.0,5,3
u-olDM7oGGM_000012_000022,tier1_vatex_short,Health & Wellness,0.2,0.0,5,3
u-olDM7oGGM_000012_000022,tier2_vatex_long,Health & Wellness,0.5,0.5,5,3
u-olDM7oGGM_000012_000022,tier3_va11y,Health & Wellness,0.4,0.3333333333333333,5,3
v2Hr1CH-yb0_000076_000086,tier0_cross,How-to & Instructional,0.0,0.0,5,5
v2Hr1CH-yb0_000076_000086,tier1_vatex_short,How-to & Instructional,0.2,0.2,5,5
v2Hr1CH-yb0_000076_000086,tier2_vatex_long,How-to & Instructional,0.2,0.2,5,5
v2Hr1CH-yb0_000076_000086,tier3_va11y,How-to & Instructional,0.3,0.3,5,5
wbOD_G3ttgU_000083_000093,tier0_cross,How-to & Instructional,0.0,0.0,5,5
wbOD_G3ttgU_000083_000093,tier1_vatex_short,How-to & Instructional,0.4,0.4,5,5
wbOD_G3ttgU_000083_000093,tier2_vatex_long,How-to & Instructional,0.4,0.4,5,5
wbOD_G3ttgU_000083_000093,tier3_va11y,How-to & Instructional,0.6,0.6,5,5
xW6hpK-DBMY_000080_000090,tier0_cross,How-to & Instructional,0.0,0.0,5,5
xW6hpK-DBMY_000080_000090,tier1_vatex_short,How-to & Instructional,0.2,0.2,5,5
xW6hpK-DBMY_000080_000090,tier2_vatex_long,How-to & Instructional,0.2,0.2,5,5
xW6hpK-DBMY_000080_000090,tier3_va11y,How-to & Instructional,0.3,0.3,5,5
yBO8rAMeqjc_000007_000017,tier0_cross,"Education, Seminar & Talks",0.0,0.0,5,5
yBO8rAMeqjc_000007_000017,tier1_vatex_short,"Education, Seminar & Talks",0.2,0.2,5,5
yBO8rAMeqjc_000007_000017,tier2_vatex_long,"Education, Seminar & Talks",0.1,0.1,5,5
yBO8rAMeqjc_000007_000017,tier3_va11y,"Education, Seminar & Talks",0.3,0.3,5,5
zTJ0Zbv1jBo_000045_000055,tier0_cross,Health & Wellness,0.0,0.0,5,4
zTJ0Zbv1jBo_000045_000055,tier1_vatex_short,Health & Wellness,0.2,0.25,5,4
zTJ0Zbv1jBo_000045_000055,tier2_vatex_long,Health & Wellness,0.2,0.25,5,4
zTJ0Zbv1jBo_000045_000055,tier3_va11y,Health & Wellness,0.7,0.625,5,4
