clip_idx,roi,t,n_vertices,residual_norm,cosine_gap,roi_need_score
0,lateral_object_loc_proxy,5,870,0.11866259234951605,0.02801525592803955,0.28026822829097714
0,lateral_object_loc_proxy,6,870,0.16547989601597785,0.04714888334274292,0.5077586787661923
0,lateral_object_loc_proxy,7,870,0.1476419267077751,0.04197114706039429,0.42580707836108034
0,lateral_object_loc_proxy,8,870,0.17745045451972674,0.0710110068321228,0.608357031721843
0,lateral_object_loc_proxy,9,870,0.07152536581373187,0.24610096216201782,0.5821302813364574
0,motion_mt_proxy,0,1041,0.05841914150297713,0.3382553458213806,0.6429443295629731
0,motion_mt_proxy,1,1041,0.04167071180246651,0.11782264709472656,0.14886788819819163
0,motion_mt_proxy,2,1041,0.056176906542498406,0.13585126399993896,0.30139339519045627
0,motion_mt_proxy,3,1041,0.04288027598983378,0.03143960237503052,0.021589805654503705
0,motion_mt_proxy,4,1041,0.06288247008015006,0.040214717388153076,0.2062824052591816
0,motion_mt_proxy,5,1041,0.07744431879806143,0.024366796016693115,0.30532022162523664
0,motion_mt_proxy,6,1041,0.0959344523538719,0.04341810941696167,0.49347688542484536
0,motion_mt_proxy,7,1041,0.0777186685606228,0.03143340349197388,0.31891829426386514
0,motion_mt_proxy,8,1041,0.10025446168508158,0.05611884593963623,0.5505785412413106
0,motion_mt_proxy,9,1041,0.07355073502636719,0.233614981174469,0.6054053552056784
0,occipital_visual_proxy,0,1738,0.10209090480030447,0.25053590536117554,0.6290407618635808
0,occipital_visual_proxy,1,1738,0.06412215332235499,0.16742414236068726,0.34509338971332554
0,occipital_visual_proxy,2,1738,0.056558757993372115,0.06702589988708496,0.09387262390281587
0,occipital_visual_proxy,3,1738,0.048241338156639314,0.035178184509277344,0.0
0,occipital_visual_proxy,4,1738,0.08742937243265617,0.05306267738342285,0.13542980483007835
0,occipital_visual_proxy,5,1738,0.14179446681094257,0.09624624252319336,0.36596601696605735
0,occipital_visual_proxy,6,1738,0.21419102213612215,0.15007489919662476,0.6644262747111804
0,occipital_visual_proxy,7,1738,0.21427991727176018,0.1330655813217163,0.6251484482326369
0,occipital_visual_proxy,8,1738,0.2568946577200877,0.1974881887435913,0.876838136084136
0,occipital_visual_proxy,9,1738,0.089219879679574,0.06608515977859497,0.1699549701162284
0,retrosplenial_precuneus_proxy,0,1129,0.0647728804239363,0.49793118238449097,0.29553965841141355
0,retrosplenial_precuneus_proxy,1,1129,0.0423900582216633,0.14439857006072998,0.045313942803818424
0,retrosplenial_precuneus_proxy,2,1129,0.04624696743206865,0.07290476560592651,0.018655247555538483
0,retrosplenial_precuneus_proxy,3,1129,0.04091286841920302,0.0978441834449768,0.016562577760782016
0,retrosplenial_precuneus_proxy,4,1129,0.07376960223444747,0.2558209300041199,0.19365260740035778
0,retrosplenial_precuneus_proxy,5,1129,0.12884547544382993,0.7154563665390015,0.5931653194653421
0,retrosplenial_precuneus_proxy,6,1129,0.2046259608538547,1.0152505319565535,0.9675825492891377
0,retrosplenial_precuneus_proxy,7,1129,0.19702897256291838,0.7386373281478882,0.8001203302322002
0,retrosplenial_precuneus_proxy,8,1129,0.2159761729453701,0.7062360346317291,0.8371613928074145
0,retrosplenial_precuneus_proxy,9,1129,0.0980676793304686,0.06641381978988647,0.16324040913646334
0,scene_context_ppa_proxy,0,1035,0.08660392720959269,0.25268393754959106,0.3030597454702035
0,scene_context_ppa_proxy,1,1035,0.055141315091692386,0.1764512062072754,0.14929838249395294
0,scene_context_ppa_proxy,2,1035,0.046009911142601764,0.039412856101989746,0.009792752209052041
0,scene_context_ppa_proxy,3,1035,0.04261738705042804,0.050713300704956055,0.009330335460476588
0,scene_context_ppa_proxy,4,1035,0.08080732769526278,0.1553502082824707,0.20596280934122008
0,scene_context_ppa_proxy,5,1035,0.1191772453241257,0.2587894797325134,0.4021259577192851
0,scene_context_ppa_proxy,6,1035,0.1762133822334998,0.3758068084716797,0.6633812925854019
0,scene_context_ppa_proxy,7,1035,0.18677454178198566,0.3646939992904663,0.6846913878130605
0,scene_context_ppa_proxy,8,1035,0.21583345643273114,0.6449883282184601,1.0
0,scene_context_ppa_proxy,9,1035,0.08007113805056222,0.042163312435150146,0.11038375142485785
0,ventral_visual_ffa_proxy,0,223,0.11478123347680136,0.1718323826789856,0.7555650979771202
0,ventral_visual_ffa_proxy,1,223,0.09689169497601846,0.15436434745788574,0.6255487727796033
0,ventral_visual_ffa_proxy,2,223,0.05494671679971993,0.02809232473373413,0.05888517242300203
0,ventral_visual_ffa_proxy,3,223,0.06444585069319345,0.008904218673706055,0.040572686452620944
0,ventral_visual_ffa_proxy,4,223,0.11592150298148267,0.030607759952545166,0.32704004880958204
0,ventral_visual_ffa_proxy,5,223,0.12818302436819812,0.01705104112625122,0.3378080784244445
0,ventral_visual_ffa_proxy,6,223,0.16156951515536272,0.025656461715698242,0.506817042114632
