label,feature,n,positives,auc,recall_at_prevalence_k,recall_at_top20pct,score_mean_positive,score_mean_negative
clip_specific_margin_top_quartile,mean_scene_spatial_gap,60,15,0.6014814815,0.4,0.3333333333,0.2629549057,0.192657117
clip_specific_margin_top_quartile,top_window_visual_minus_control,60,15,0.5896296296,0.4,0.3333333333,0.3745798049,0.2239066472
clip_specific_margin_top_quartile,top_case_priority_score,60,15,0.5822222222,0.3333333333,0.2,1.644069683,1.377040284
clip_specific_margin_top_quartile,max_visual_gap,60,15,0.5792592593,0.4,0.3333333333,0.7459083681,0.6013223176
clip_specific_margin_top_quartile,top_window_peak_visual_gap,60,15,0.5792592593,0.4,0.3333333333,0.7459083681,0.6013223176
clip_specific_margin_top_quartile,mean_agent_action_gap,60,15,0.5688888889,0.3333333333,0.2,0.1674109591,0.1250287949
clip_specific_margin_top_quartile,route_mean_action_state_or_agent_cue,60,15,0.5555555556,0.3333333333,0.3333333333,0.2756060695,0.1962777264
clip_specific_margin_top_quartile,route_mean_layout_replay_or_scene_cue,60,15,0.5496296296,0.3333333333,0.3333333333,0.2565846336,0.1829970217
clip_specific_margin_top_quartile,route_peak_action_state_or_agent_cue,60,15,0.5422222222,0.3333333333,0.2666666667,0.3957528984,0.3031877445
clip_specific_margin_top_quartile,route_share_action_state_or_agent_cue,60,15,0.5333333333,0.3333333333,0.2,0.1333333333,0.112962963
clip_specific_margin_top_quartile,route_peak_layout_replay_or_scene_cue,60,15,0.5244444444,0.3333333333,0.2666666667,0.4000613335,0.3120948004
clip_specific_margin_top_quartile,top_route_is_action_state_or_agent_cue,60,15,0.5222222222,0.3333333333,0.2666666667,0.3333333333,0.2888888889
clip_specific_margin_top_quartile,route_share_layout_replay_or_scene_cue,60,15,0.5214814815,0.4,0.3333333333,0.3,0.2518518519
clip_specific_margin_top_quartile,scene_agent_peak_apart,60,15,0.5111111111,0.3333333333,0.2666666667,0.5333333333,0.5111111111
clip_specific_margin_top_quartile,top_route_is_static_ad_ok_low_gap,60,15,0.5,0.2,0.06666666667,0.2666666667,0.2666666667
clip_specific_margin_top_quartile,mean_control_gap,60,15,0.4918518519,0.1333333333,0.06666666667,0.1158777938,0.1352590603
clip_specific_margin_top_quartile,top_route_is_layout_replay_or_scene_cue,60,15,0.4777777778,0.3333333333,0.3333333333,0.4,0.4444444444
clip_specific_margin_top_quartile,route_peak_static_ad_ok_low_gap,60,15,0.4681481481,0.3333333333,0.3333333333,0.1587439663,0.173825838
clip_specific_margin_top_quartile,route_share_static_ad_ok_low_gap,60,15,0.4488888889,0.2,0.06666666667,0.5666666667,0.6351851852
clip_specific_margin_top_quartile,top1_vs_uniform,60,15,0.44,0.2666666667,0.2,2.540038513,2.733412483
clip_specific_margin_top_quartile,route_mean_static_ad_ok_low_gap,60,15,0.3792592593,0.1333333333,0.1333333333,0.0892513407,0.1136785833
