clip_key,corpus,category,dominant_roi,visual_mean,control_mean,visual_minus_control,scene_mean,social_action_mean,scene_minus_social_action,accessibility_gap,video_id,adqa_fail,ensemble_fail
external_S-C86j0keqc_000217_000227,external,Event,scene_ppa,0.22443285249719058,0.03436939973647318,0.1900634527607174,0.33424467659440404,0.11462102839997709,0.21962364819442695,0.1053204411955001,S-C86j0keqc_000217_000227,0,0
external_ShSSAEfnyDs_000000_000010,external,Entertainment,retrosplenial_pos,0.14459208282469244,0.06235003873526185,0.08224204408943059,0.26116221426353287,0.028021951385852034,0.23314026287768083,0.08229304085841571,ShSSAEfnyDs_000000_000010,1,0
external_Xdz1cxEjLYc_000007_000017,external,Food & Cooking,retrosplenial_pos,0.06447231627334607,0.17321697605714503,-0.10874465978379896,0.1201917508409541,0.008752881705738041,0.11143886913521606,0.08644013184582944,Xdz1cxEjLYc_000007_000017,0,0
external_Z5w-wkrjHuw_000345_000355,external,Entertainment,body_eba_region,0.02476174219776367,0.32112477183673055,-0.2963630296389669,0.023207104864843675,0.026316379530683665,-0.0031092746658399895,0.08805246984084747,Z5w-wkrjHuw_000345_000355,0,0
external_ZcYB6tPK2Eo_000138_000148,external,How-to & Instructional,early_visual_v1,0.14689530064210402,0.24895526963380188,-0.10205996899169786,0.24863227346766906,0.04515832781653897,0.20347394565113008,0.25646987169948376,ZcYB6tPK2Eo_000138_000148,0,0
external__TKzyWZHjm8_000002_000012,external,Health & Wellness,early_visual_v1,0.08574966825573044,0.19189026601127107,-0.10614059775554063,0.13841700476353794,0.03308233174792294,0.105334673015615,0.1308002538681644,_TKzyWZHjm8_000002_000012,0,0
external__oAKCHh_Av4_000003_000013,external,People & Vlogs,scene_ppa,0.30563024966194036,0.07834940121139772,0.22728084845054264,0.5419658636377733,0.06929463568610747,0.47267122795166583,0.19014348298258033,_oAKCHh_Av4_000003_000013,0,0
external_bgt29znHCzs_000343_000353,external,Sports,early_visual_v1,0.04465349895163759,0.05103362499612252,-0.0063801260444849295,0.06581455036538272,0.023492447537892452,0.04232210282749027,0.13765484813168005,bgt29znHCzs_000343_000353,0,0
external_c_gQ9CSaZY4_000000_000010,external,How-to & Instructional,retrosplenial_pos,0.22245430208607764,0.1298833008137138,0.09257100127236384,0.38397363258025874,0.060934971591896536,0.3230386609883622,0.21586985493136313,c_gQ9CSaZY4_000000_000010,0,0
external_crjesEwF0Ks_000197_000207,external,How-to & Instructional,retrosplenial_pos,0.3391237236647359,0.032158963175523525,0.3069647604892124,0.5280879015339126,0.15015954579555926,0.37792835573835337,0.3233000293028674,crjesEwF0Ks_000197_000207,1,0
external_d7_SY48r__8_000060_000070,external,How-to & Instructional,retrosplenial_pos,0.34648396967152695,0.04613432723299293,0.300349642438534,0.4383396670570524,0.2546282722860015,0.18371139477105092,0.41756418063859524,d7_SY48r__8_000060_000070,1,1
external_dlBeUWrse3I_000019_000029,external,How-to & Instructional,retrosplenial_pos,0.1769696795634002,0.04184202444807816,0.13512765511532204,0.2640000718321734,0.08993928729462705,0.17406078453754634,0.1937591584360412,dlBeUWrse3I_000019_000029,0,0
external_eb-ufaFcUas_000008_000018,external,Entertainment,retrosplenial_pos,0.030402572714991083,0.04505225748007563,-0.014649684765084547,0.05144562432487565,0.009359521105106516,0.04208610321976913,0.055594638105383676,eb-ufaFcUas_000008_000018,0,0
external_g8Idd47kGqo_000037_000047,external,Entertainment,early_visual_v1,0.21814448192693098,0.1035974999677603,0.11454698195917068,0.35794923771808074,0.07833972613578125,0.2796095115822995,0.24311641316027965,g8Idd47kGqo_000037_000047,1,0
external_gFBO3zrod9Y_000005_000015,external,People & Vlogs,lateral_object_loc,0.11218204574495518,0.028854573759931,0.08332747198502417,0.07095509215435447,0.15340899933555588,-0.08245390718120141,0.17114612043899524,gFBO3zrod9Y_000005_000015,0,0
