clip_idx,tier,gt,fusion_semantic_core,fusion_narrative_ground,fusion_audit_no_ref,fusion_entity_action,fusion_timing_semantic,fusion_paper_stack_v1,fusion_grid_best
9,tier0_cross,0,-1.1917953184696497,-1.1480856264064199,-1.0924146612323842,-0.8609210413392439,-0.4145472373424202,-0.9654710916132884,-1.1100492247097893
9,tier1_vatex_short,1,0.06767931422059115,0.31139393334204685,0.3236188129966246,0.2404279213849721,0.09642371269331682,0.2544730000359732,0.2580387133720487
9,tier2_vatex_long,2,0.13867789851770623,0.1631221023978027,0.1318100832694034,0.47984434368920903,0.20527754770011708,0.08068209423615977,0.13815825729253545
9,tier3_va11y,3,0.7213241218831354,0.49956807883624743,0.18527261756993835,0.6868359037328295,0.8063308429356434,0.49704108920689927,0.5402999316133494
11,tier0_cross,0,-1.4188300648309085,-1.1480856264064199,-1.2842233909596055,-1.004570894721786,-1.0574791226352906,-1.1380450865649716,-1.2299296807893025
11,tier1_vatex_short,1,0.13525247973319943,0.29444842089465934,0.20583672698448707,0.28678647792330236,-0.12688749249795062,0.03565744723278197,0.36083817101527577
11,tier2_vatex_long,2,0.2660524882101175,-0.08932375344300435,0.441400899008762,-0.38359621459092397,-0.3073294685946799,0.13677919440945238,0.15523925572882144
11,tier3_va11y,3,1.5676879779405677,1.3606341772073376,1.4421578185204196,1.451460437246234,0.5310221316139668,1.2439736874264857,1.7460071075333998
12,tier0_cross,0,-1.313430144523679,-1.1480856264064199,-1.1050487691784885,-0.9806292524913622,-1.0271998085124265,-1.036170769961981,-1.1179455421761044
12,tier1_vatex_short,1,0.06867535610962333,0.5984159661324101,0.09787253180868592,0.44741948142859267,0.05290191222751732,0.22208841229910775,0.2933605490304
12,tier2_vatex_long,2,-0.17682325652327008,0.00952413385315834,0.11865686874918616,-0.35965457236050025,-0.25858308469543173,0.06091707546255592,-0.04647576318341346
12,tier3_va11y,3,1.0881588221542815,1.2713079190092995,0.8569111349357847,1.2205272349721894,0.3521485067550938,0.9517667696184696,1.194553248394988
13,tier0_cross,0,-1.3086216228650316,-1.1480856264064199,-1.2842233909596055,-0.9806292524913622,-0.3926345664878192,-1.0526103881350586,-1.2299296807893025
13,tier1_vatex_short,1,0.3337757286355552,-0.10451409616892016,0.19394240985169986,-0.891568419817014,-0.1769784838479519,0.13958628545790625,-0.1758355613951554
13,tier2_vatex_long,2,0.726394714125115,0.7932773839108402,0.8978964469104608,0.3601361325370906,0.48221294195530406,0.9358944668962786,0.6169622345681962
13,tier3_va11y,3,1.1951033023101956,0.9814515294050408,0.5178243049175759,0.9262523260370668,1.2828908295141033,1.1514640553188566,0.899223452809497
14,tier0_cross,0,-1.0366045550907572,-1.1480856264064199,-1.1245742087315589,-1.1003374636434808,-1.082790945607337,-1.069230607967092,-1.1301489418967734
14,tier1_vatex_short,1,0.25796791707129224,0.29444842089465934,0.3976454567117083,0.6698527536100817,0.2662819335407555,0.28849965020850693,0.48071862709478896
14,tier2_vatex_long,2,0.22000294870025805,-0.09884538254112923,0.22828872576692782,0.206461621139476,0.0063062907855147565,0.01011066670471289,0.1984574088534882
14,tier3_va11y,3,1.4094458421396827,1.4594820645035003,1.1698320532043993,1.547227006167929,0.6726847397034292,1.2698139809867508,1.6261266514538866
15,tier0_cross,0,-1.1025685024759602,-1.1480856264064199,-0.7764764493430809,-1.1003374636434808,-1.3116809799570284,-1.163878007871365,-1.1351738711935195
15,tier1_vatex_short,1,-0.4031725293258067,-0.8709483823456727,-0.6071197183983003,-0.7337349553970354,-0.5657682673088196,-0.7346173467560618,-0.8529126529522185
15,tier2_vatex_long,2,-0.26241262697551154,-0.8709483823456727,-0.4566589783128753,-0.7337349553970354,-0.5529152192695994,-0.6542602922744658,-0.7588746903988278
15,tier3_va11y,3,0.12416817751075804,-0.6827742368514721,-0.4297573058734033,-0.20752149894776536,-0.2612089420326375,-0.4662105577085933,-0.47661347215752703
16,tier0_cross,0,-1.1126524739944992,-0.9599114809122192,-0.7587290137515529,-0.8933459035998601,-0.44255914682597086,-0.996558007453971,-0.9476684625480014
16,tier1_vatex_short,1,-0.18766461334218812,0.5984159661324101,0.13922052145048214,0.5671276925807112,0.2663087440256679,0.2784382306134715,0.31920304255652265
16,tier2_vatex_long,2,0.3415076546265579,0.8854379989227734,0.5302484190860033,0.7741192526243318,0.4711278867021737,0.5769939751481514,0.7400087399795364
16,tier3_va11y,3,1.348802057774309,1.4594820645035003,1.126850600028851,1.4275187950158104,1.3493986260435518,1.3152495152595096,1.5801844407407797
17,tier0_cross,0,-0.672889928711266,-0.7032701335736875,-0.5456168405097188,-1.1003374636434808,-0.9540575664147113,-0.609758139411261,-0.9908866156726682
17,tier1_vatex_short,1,-0.18761847039313728,0.4197634497363344,-0.03754664767537717,-0.17177771491942317,-0.3361066697576051,0.15659932864994414,-0.14410296094876554
17,tier2_vatex_long,2,-0.35402055900985396,-0.173323874040642,-0.4200155518619919,0.15314457249346985,-0.21267212897093105,-0.3810111724674604,-0.3831460260653997
17,tier3_va11y,3,1.5676879779405677,1.5089060081515817,1.3028780712981807,1.547227006167929,0.6080838056711788,1.3724945458597415,1.7460071075333998
18,tier0_cross,0,-1.161575009874603,-1.1480856264064199,-0.9280857446963336,-1.1003374636434808,-0.504771822077344,-1.0929492528423164,-1.2299296807893025
18,tier1_vatex_short,1,-0.31209093516752634,-0.3784435319822301,-0.19949294043907895,-0.2229632110856337,-0.19247311114710153,-0.4232731321822275,-0.24531939392607913
18,tier2_vatex_long,2,0.3089842047710192,0.45966576428629097,0.41205756861935533,0.03521384512419756,0.210013578436413,0.37071961098390727,0.3133129356362554
18,tier3_va11y,3,1.3488021902224543,1.0640905153188494,1.3100071038213905,1.547227006167929,1.3534835326149517,0.9990966614223447,1.5801844407407797
19,tier0_cross,0,-1.3369943665435315,-1.1480856264064199,-0.9280857446963336,-1.1003374636434808,-1.3044805484175002,-1.2367193690703875,-1.2299296807893025
19,tier1_vatex_short,1,-0.3214178836759629,-0.5938111382849257,-0.20690337862015762,-0.6065488694548271,-0.4701864512075957,-0.45012878326071876,-0.42636417919006636
19,tier2_vatex_long,2,-0.7649518545633083,-0.9599114809122192,-0.7587290137515529,-0.7337349553970354,-0.5622525316171011,-0.8683173373295324,-0.9476684625480014
19,tier3_va11y,3,0.9126659655868476,-0.03953665016343155,0.6145094652869695,0.046850672936651266,-0.09278379763489812,0.24953503028964952,0.4970817784886829
